"context","source","target"
"ActionStatusAvailableDescription","This action is available to use during this character's turn."
"ActionStatusCannotPerformDescription","This creature cannot perform this kind of action."
"ActionStatusEngagedDescription","Action already in process. Actions of the same type (main, bonus, etc.) cannot be used until it has finished."
"ActionStatusIrrelevantDescription","Action irrelevant here. Try something else."
"ActionStatusNoLongerAvailableDescription","Action unavailable - an action of the same type (main, bonus, etc.) has been selected."
"ActionStatusOutOfUsesDescription","Action unavailable - out of uses/ammo."
"ActionStatusSpentDescription","Action already used this turn."
"ActionStatusUnavailableDescription","Action unavailable this turn."
"ActionTypeBonusAvailableMultipleDescription","This bonus action is available!"
"ActionTypeBonusAvailableSingleDescription","Your bonus action is available!"
"ActionTypeBonusDescription","A bonus action is granted by special powers and spells, or when equipping an off-hand weapon."
"ActionTypeBonusTitle","Bonus"
"ActionTypeBonusUnavailableMultipleDescription","You have used this bonus action."
"ActionTypeBonusUnavailableSingleDescription","You have used your bonus action."
"ActionTypeFreeOnceAvailableMultipleDescription","This free action is available!"
"ActionTypeFreeOnceAvailableSingleDescription","Your free action is available!"
"ActionTypeFreeOnceDescription","You can take certain free actions during your turn, such as sheathing a weapon or dropping an item."
"ActionTypeFreeOnceTitle","Free"
"ActionTypeFreeOnceUnavailableMultipleDescription","You have used this free action."
"ActionTypeFreeOnceUnavailableSingleDescription","You have used your free action."
"ActionTypeMainAvailableMultipleDescription","This main action is available!"
"ActionTypeMainAvailableSingleDescription","Your main action is available!"
"ActionTypeMainDescription","Your main action is the main thing you do during your turn, such as moving, attacking, casting a spell, or using an ability."
"ActionTypeMainTitle","Main Actions"
"ActionTypeMainUnavailableMultipleDescription","You have used this main action."
"ActionTypeMainUnavailableSingleDescription","You have used your main action."
"ActionTypeMoveDescription","The move action usually involves spending speed points to move. Jumping and climbing require ability checks."
"ActionTypeMoveTitle","Move"
"ActionTypeOtherDescription","Other actions can be performed freely or by spending move points."
"ActionTypeOtherTitle","Other"
"ActionTypeReactionAvailableMultipleDescription","This reaction is available!"
"ActionTypeReactionAvailableSingleDescription","Your reaction is available!"
"ActionTypeReactionDescription","Specific conditions can trigger a reaction, such as an opportunity attack."
"ActionTypeReactionTitle","Reaction"
"ActionTypeReactionUnavailableMultipleDescription","You have used this reaction."
"ActionTypeReactionUnavailableSingleDescription","You have used your reaction."
"AssignTargetDescription","You can select a new target for {0}."
"AssignTargetTitle","Target"
"AttackCoverFullDescription","The target has total cover behind an obstacle."
"AttackCoverHalfDescription","The target has half cover ({0} AC).
"
"AttackCoverThreeQuartersDescription","The target has three-quarters cover ({0} AC).
"
"AttackDescription","Attack an enemy target with this weapon: {0} ({1} to Hit)
{2}"
"AttackExecuteAdvantageDescription","Click to attack the target with advantage!"
"AttackExecuteDescription","Click to attack the target!"
"AttackExecuteDisadvantageDescription","Click to attack the target with disadvantage."
"AttackIterativeDescription","You can attack {0} times during your turn, and intersperse your attacks between moves."
"AttackTitle","Attack"
"BlockAttackDescription","Impose disadvantage on an enemy attacking a nearby ally."
"BlockAttackTitle","Block attack"
"CastDescription","Select and cast a spell."
"CastRitualDescription","Cast spell as a ritual (takes 10 minutes, does not use a spell slot)."
"CastRitualTitle","Ritual"
"CastSpellHigherSlotAddDiceTile","Add {0} dice to the effect."
"CastSpellHigherSlotAddDieTile","Add {0} die to the effect."
"CastSpellHigherSlotAddHPTile","Add {0} more hit points."
"CastSpellHigherSlotAddItemBonusTile","Increase item bonus by {0}."
"CastSpellHigherSlotAddSpellLevelPluralTile","{0} additional spell levels."
"CastSpellHigherSlotAddSpellLevelSingleTile","{0} additional spell level."
"CastSpellHigherSlotAddSummonPluralTile","Conjure {0} additional creatures."
"CastSpellHigherSlotAddSummonSingleTile","Conjure {0} additional creature."
"CastSpellHigherSlotAddTargetCellsTile","Target {0} additional cells."
"CastSpellHigherSlotAddTargetPluralTile","Add {0} targets."
"CastSpellHigherSlotAddTargetSingleTile","Add {0} target."
"CastSpellHigherSlotAddTempHPTile","Add {0} temporary hit points."
"CastSpellHigherSlotTile","Cast spell using a level {0} slot."
"CastTitle","Cast Spell"
"CautiousDescription","Activate/deactivate cautious mode. A cautious character is stealthier and more aware of hidden objects and creatures."
"CautiousTitle","Cautious"
"ClimbDescription","Climb up or down surfaces. Climbing a slippery vertical surface also requires a successful Strength (Athletics) check."
"ClimbTitle","Climb"
"CunningActionDescription","Starting at 2nd level, your quick thinking and agility allow you to move and act quickly. You can take a bonus action on each of your turns in combat. This action can be used only to take the Dash or Disengage action."
"CunningActionTitle","Cunning Action"
"DashDescription","When you take the Dash action, you gain extra movement for your current turn. The increase equals your speed, after applying any modifiers."
"DashTitle","Dash"
