"context","source","target"
"BarrierTitle","Barriers"
"EmptyRoomsTitle","Empty Rooms"
"EncounterTitle","Encounter"
"FurnishedRoomsTitle","Furnished Rooms"
"FurnitureTitle","Furniture"
"LightingTitle","Lighting"
"LootTitle","Loot"
"LoreTitle","Lore"
"NavigationTitle","Navigation"
"ObstacleTitle","Obstacles"
"OpeningsTitle","Openings"
"OrnamentsTitle","Ornaments"
"RestingTitle","Resting"
"StructureTitle","Structures"
"TrapsTitle","Traps"
"ActivatorsTitle","Activators"
"PartitionsTitle","Partitions"
"AdventuringTitle","Adventuring"
"BlockersTitle","Blockers"
"HarvestableTitle","Harvestables"
