"context","source","target"
"EyesBlackTitle","Black"
"EyesBlueTitle","Blue"
"EyesBrownTitle","Brown"
"EyesGoldenTitle","Golden"
"EyesGreenTitle","Green"
"EyesHazelTitle","Hazel"
"EyesLavenderTitle","Lavender"
"EyesRedTitle","Red"
"EyesSilverTitle","Silver"
"HairBlackTitle","Black"
"HairBlondTitle","Blond"
"HairBlueTitle","Blue"
"HairBrownTitle","Brown"
"HairCopperTitle","Copper"
"HairOliveTitle","Olive"
"HairRedTitle","Red"
"HairRoseTitle","Pink"
"HairSandyBrownTitle","Sandy Brown"
"HairSilverTitle","Silver"
"HairWhiteTitle","White"
"SkinAlabasterBlueTitle","Alabaster Blue"
"SkinBronzeTitle","Bronze"
"SkinCopperishTitle","Coppery"
"SkinFairTitle","Fair"
"SkinObsidianTitle","Obsidian"
"SkinPaleTitle","Pale"
"SkinTanTitle","Tan"
