"context","source","target"
"CrownOfTheMagister_Journal_DialogTitle_AfterTuto0","The Gravekeep's Cask"
"CrownOfTheMagister_Journal_DialogTitle_AfterTuto1","Waiting for Lord Carran"
"CrownOfTheMagister_Journal_DialogTitle_AfterTuto2","Another Round"
"CrownOfTheMagister_Journal_DialogTitle_AfterTuto3","Still No Sign"
"CrownOfTheMagister_Journal_DialogTitle_AfterTuto4","Lord Carran Finally Arrives"
"CrownOfTheMagister_Journal_DialogTitle_Annie01","Famous Already"
"CrownOfTheMagister_Journal_DialogTitle_Annie02","The Scavengers"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem01","The Outpost"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem02","The Tower"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem03","The Survivors"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem04","Distrust"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem05","Inside at Last"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem06","The Scout"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem07","The Veteran"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem08","The Youngster"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem09","Discussing the Situation"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem10","The Choice"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem11","The Escape"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem12","Survivors"
"CrownOfTheMagister_Journal_DialogTitle_CaerLemGeneric","Inspection"
"CrownOfTheMagister_Journal_DialogTitle_Council0","The Oath"
"CrownOfTheMagister_Journal_DialogTitle_Gorim","Gorim's Emporium"
"CrownOfTheMagister_Journal_DialogTitle_Hugo","Hugo's Wonders"
"CrownOfTheMagister_Journal_DialogTitle_Karel","Karel's Welcome"
"CrownOfTheMagister_JournalEntry01","Prison Break"
"CrownOfTheMagister_JournalEntry02","Wild Encounter"
"CrownOfTheMagister_JournalEntry03","The Cave"
"CrownOfTheMagister_JournalEntry04","Dirty Deeds"
"CrownOfTheMagisterDescription","The new realms of Solasta turn their eyes towards the Badlands and its treasures, but war isn't the only threat looming over the Principality of Masgarth."
"CrownOfTheMagisterIntroduction1","It is the year 1024 after the Cataclysm. New states have arisen around the Badlands and crave its treasures."
"CrownOfTheMagisterIntroduction2","A newly discovered road offers a safer route into the ruined heart of the Empire from the Principality of Masgarth, upsetting the balance of power."
"CrownOfTheMagisterIntroduction3","The Legacy Council is formed, to ensure that this knowledge is shared. It issues a call for agents to explore the Badlands in its name."
"CrownOfTheMagisterIntroduction4","Adventurers flock to Caer Cyflen, the Principality's capital and the home of the Council. Four strangers meet in the Gravekeep's Cask, close to the Council chambers."
"CrownOfTheMagisterJournalStart","A group of adventurers gathers at the Gravekeep's Cask Inn, waiting for the instructions of the Legacy Council. The party has {0} members."
"CrownOfTheMagisterTitle","Crown of the Magister"
"CrownOfTheMagister_Journal_DialogTitle_PriestOfArun","The Priest of Arun"
"CrownOfTheMagister_Journal_DialogTitle_PriestOfPakri","The Priestess of Pakri"
"CrownOfTheMagister_Journal_DialogTitle_PriestOfMaraike","The Priest of Maraike"
"CrownOfTheMagister_Journal_DialogTitle_PriestOfEinar","The Priest of Einar"
"CrownOfTheMagister_Journal_DialogTitle_MeetHalmanSummer","Meeting Halman Summer"
"CrownOfTheMagister_Journal_DialogTitle_VisitHalmanSummer","Visiting the Antiquarians"
"CrownOfTheMagister_Journal_DialogTitle_MeetMaddyGreenisle","Meeting Maddy Greenisle"
"CrownOfTheMagister_Journal_DialogTitle_VisitMaddyGreenisle","Visiting the Tower of Knowledge"
"CrownOfTheMagister_Journal_DialogTitle_MeetHeddlonSurespell","Meeting Heddlon Surespell"
"CrownOfTheMagister_Journal_DialogTitle_VisitHeddlonSurespell","Visiting the Arcaneum"
"CrownOfTheMagister_Journal_DialogTitle_MeetJorielFoxeye","Meeting Joriel Foxeye"
"CrownOfTheMagister_Journal_DialogTitle_VisitJorielFoxeye","Visiting the Circle of Danantar"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem13","They're here!"
"CrownOfTheMagister_Journal_DialogTitle_CaerLem14","Alive!"
"CrownOfTheMagister_Journal_DialogTitle_Council01_a","Back in Town"
"CrownOfTheMagister_Journal_DialogTitle_Council01_b","Bringers of Dark News"
"CrownOfTheMagister_Journal_DialogTitle_Council01_c","A New Mission"
"CrownOfTheMagister_Journal_DialogTitle_Council02_a","You Were Right"
"CrownOfTheMagister_Journal_DialogTitle_Council02_b","The Crown is Ours"
"CrownOfTheMagister_Journal_DialogTitle_Council02_c","Attuned"
"CrownOfTheMagister_Journal_DialogTitle_Council02_d","Marshal Sunblaze"
"CrownOfTheMagister_Journal_DialogTitle_Council02_e","The Lost Gem"
"CrownOfTheMagister_Journal_DialogTitle_Council02_f","The Quest"
"CrownOfTheMagister_Journal_DialogTitle_Council03_a","The Crown of the Magister"
"CrownOfTheMagister_Journal_DialogTitle_Council03_b","Very Important Adventurers"
"CrownOfTheMagister_Journal_Mertonsquest_01","First Scavenger"
"CrownOfTheMagister_Journal_Coparann_Cleric","The Priestess of Arun"
"CrownOfTheMagister_Journal_Coparann_Scavengers","The Scavengers of Coparann"
"CrownOfTheMagister_Journal_TOM_0Beryl","Lady Stonebeard"
"CrownOfTheMagister_Journal_TOM_0Robar","The Idle Mercenary"
"CrownOfTheMagister_Journal_TOM_0Daliat","Daliat Sunbird, probably"
"CrownOfTheMagister_Journal_TOM_1_A","Fanatics!"
"CrownOfTheMagister_Journal_TOM_1_A_intro","Manacalon Ruin"
"CrownOfTheMagister_Journal_TOM_1_B_LoneWorker","Doomed from the Start"
"CrownOfTheMagister_Journal_TOM_1_C_FlyingRock","Chaotic Magic"
"CrownOfTheMagister_Journal_TOM_2_DoorOpened","Mystery Solved"
"CrownOfTheMagister_Journal_TOM_2_RunePuzzle","The rune puzzle"
"CrownOfTheMagister_Journal_TOM_2_LockedDoor","Locked!"
"CrownOfTheMagister_Journal_TOM_3_Soraks","Here they are!"
"CrownOfTheMagister_Journal_TOM_3_SoraksDead","A Tough Fight"
"CrownOfTheMagister_Journal_TOM_3_TheCrown","The Mysterious Crown"
"CrownOfTheMagister_Journal_TOM_3_TheCurse","A Troubled Night"
"CrownOfTheMagister_Journal_TOM_3_ReturnToCC","We Made It!"
"CrownOfTheMagister_Journal_Necromancy_01","Of Wolves and…"
"CrownOfTheMagister_Journal_Necromancy_02","A Strange Ghost"
"CrownOfTheMagister_Journal_Necromancy_03","A long-serving officer"
"CrownOfTheMagister_Journal_Necromancy_04","The Master's Student"
"CrownOfTheMagister_Journal_Necromancy_05","The Master's Guest"
