"context","source","target"
"AberrationDescription","Aberrations are utterly alien beings. Many of them have innate magical abilities drawn from the creature's alien mind rather than the mystical forces of the world."
"AberrationTitle","Aberration"
"BeastDescription","Beasts are nonhumanoid creatures that are a natural part of the fantasy ecology. Some of them have magical powers, but most are unintelligent and lack any society or language."
"BeastTitle","Beast"
"CelestialDescription","Celestials are creatures native to the Upper Planes. Many of them are the servants of deities, employed as messengers or agents in the mortal realm and throughout the planes. Celestials are good by nature, so the exceptional celestial who strays from a good alignment is a horrifying rarity."
"CelestialTitle","Celestial"
"ConstructDescription","Constructs are made, not born. Some are programmed by their creators to follow a simple set of instructions, while others are imbued with sentience and capable of independent thought."
"ConstructTitle","Construct"
"DragonDescription","Dragons are large reptilian creatures of ancient origin and tremendous power. True dragons, including the good metallic dragons and the evil chromatic dragons, are highly intelligent and have innate magic."
"DragonTitle","Dragon"
"ElementalDescription","Elementals are creatures native to the elemental planes. Some creatures of this type are little more than animate masses of their respective elements, including the creatures simply called elementals. Others have biological forms infused with elemental energy."
"ElementalTitle","Elemental"
"FeyDescription","Fey are magical creatures closely tied to the forces of nature. They dwell in twilight groves and misty forests."
"FeyTitle","Fey"
"FiendDescription","Fiends are creatures of wickedness that are native to the Lower Planes. A few are the servants of deities, but many more labor under the leadership of archdevils and demon princes. Evil priests and mages sometimes summon fiends to the material world to do their bidding. If an evil celestial is a rarity, a good fiend is almost inconceivable."
"FiendTitle","Fiend"
"GiantDescription","Giants tower over humans and their kind. They are humanlike in shape, though some have multiple heads or deformities. The six varieties of true giant are hill giants, stone giants, frost giants, fire giants, cloud giants, and storm giants. Besides these, creatures such as ogres and trolls are giants."
"GiantTitle","Giant"
"HumanoidDescription","Humanoids are the main peoples of a fantasy gaming world, both civilized and savage, including humans and a tremendous variety of other species. They have language and culture, few if any innate magical abilities (though most humanoids can learn spellcasting), and a bipedal form. The most common humanoids are the ones most suitable as player characters: humans, dwarves, elves, and halflings. Almost as numerous are the goblinoids (goblins, hobgoblins, and bugbears), orcs, gnolls, lizardfolk, and kobolds."
"HumanoidTitle","Humanoid"
"MonstrosityDescription","Monstrosities are monsters in the strictest sense - frightening creatures that are not ordinary, not truly natural, and almost never benign. Some are the results of magical experimentation gone awry, and others are the product of terrible curses. They defy categorization, and in some sense serve as a catch-all category for creatures that don't fit into any other type."
"MonstrosityTitle","Monstrosity"
"OozeDescription","Oozes are gelatinous creatures that rarely have a fixed shape. They are mostly subterranean, dwelling in caves and dungeons and feeding on refuse, carrion, or creatures unlucky enough to get in their way."
"OozeTitle","Ooze"
"PlantDescription","Plants in this context are vegetable creatures, not ordinary flora. Most of them are ambulatory, and some are carnivorous. The quintessential plants are the shambling mound and the treant. Fungal creatures also fall into this category."
"PlantTitle","Plant"
"UndeadDescription","Undead are once-living creatures brought to a horrifying state of undeath through the practice of necromantic magic or some unholy curse."
"UndeadTitle","Undead"
