"context","source","target"
"CharacterClassSubTitle","Character Class"
"CharacterRaceSubTitle","Character Ancestry"
"ClericDescription","Clerics are the servants of their chosen deity. In exchange for their faith and service they are granted miraculous powers, as long as they constrain themselves to following their god's creed and perform their religion's rituals."
"ClericTitle","Cleric"
"FighterDescription","Fighters are trained in the arts of combat. They are adept with most weapons, but often choose to specialize. All fighters can use armor, shields, and ranged weapons."
"FighterTitle","Fighter"
"PaladinDescription","Paladins are elite warriors who have sworn unbreakable holy oaths to fight evil. In addition to their weapons and armor, they wield divine powers and clerical spells."
"PaladinTitle","Paladin"
"RangerDescription","Wanderers of Solasta's wilderness, rangers are trained survivalists, fierce in battle, and stealthy hunters. Excellent trackers and archers, they also have some spellcasting ability."
"RangerTitle","Ranger"
"RogueDescription","Rogues are versatile first and foremost. They use their natural talents to master various skills and find their own way to thrive. Generally resourceful, they are known for their cunning and their ability to launch deadly sneak attacks."
"RogueTitle","Rogue"
"WizardDescription","Wizards spend their lives studying magic, learning more and more powerful and wondrous spells. Despite their weakness in physical combat, their magical abilities make them dangerous foes."
"WizardTitle","Wizard"
"SorcererDescription","Sorcerer have an innate ability to channel arcane magic, usually through a supernatural origin. Sorcerers are also able to alter the fabric of magic using sorcery points."
"SorcererTitle","Sorcerer"
"BarbarianDescription","Barbarian are primal warriors, living at the edge of civilization, and relishing in chaoting combats where their battle rage can be unleashed"
"BarbarianTitle","Barbarian"
"DruidDescription","Druids are part of an ancient order dedicated to nature. Their powers and spells are attuned to animals, plants and the elementary forces."
"DruidTitle","Druid"
