"context","source","target"
"GameTechnicalVisionTitle","Game & Technical Vision"
"ArtTeamTitle","Art Team"
"ArtDirectorTitle","Art Director"
"Lead3DArtistTitle","Lead 3D Artist"
"LeadAnimatorTitle","Lead Animator"
"3DCharacterArtistFemaleTitle","3D Character Artist"
"3DEnvironmentArtistTitle","3D Environment Artist"
"VisualEffectsArtistFemaleTitle","Visual Effects Artist"
"ConceptArtistTitle","Concept Artist"
"DesignTeamTitle","Design Team"
"GameplayDirectorTitle","Gameplay Director"
"SeniorLevelDesignerTitle","Senior Level Designer"
"SeniorTechLevelDesignerTitle","Senior Tech Level Designer"
"LevelDesignerTitle","Level Designer"
"LevelBuilderTitle","Level Builder"
"CutsceneDirectionTitle","Cutscene Artist"
"NarrationTeamTitle","Narration Team"
"UniverseStorylineTitle","Universe & Storyline"
"NarrationDirection","Narration Direction"
"ProductionTeamTitle","Production Team"
"ProducerFemaleTitle","Producer"
"QALeadFemaleTitle","QA Lead"
"AutotestTitle","Autotest"
"TechnicalTeamTitle","Technical Team"
"TechLeadTitle","Lead Engineer"
"GraphicsProgrammerTitle","Rendering Engineer"
"UIRuleserProgrammerTitle","UI/Ruleset Engineer"
"ToolsProgrammerTitle","Tools & Gameplay Engineer"
"MarktingTeamTitle","Marketing Team"
"MarketingDirectorTitle","Marketing Director"
"LeadCommunityDeveloperTitle","Lead Community Developer"
"AdministrationTeamTitle","Administration"
"AdministrativeAndFinancialManagerFemaleTitle","Administrative and Financial Manager"
"BoardMemberTitle","Board Member"
"ExternalPartnersTitle","External Partners"
"ExternalPartnersConceptTitle","Additionnal Concept Artist"
"EnvironmentConceptArtistTitle","Environment & Key Art Concept Artist"
"CharacterConceptArtistTitle","Character Concept Artist"
"UIConceptArtistTitle","UI & Market Artist"
"ExternalQAName","Quantic Lab"
"ExternalQACEOTitle","CEO & Founder"
"ExternalQAHeadBusiness","Head of Business Development"
"ExternalQABusinessDev","Business Development Associate"
"ExternalQATechDirector","Technical Director"
"ExternalQAQADirector","QA Director"
"ExternalQAQAManager","QA Managers"
"ExternalQAQALeadTester","QA Lead Testers"
"ExternalQAQATesters","QA Testers"
"ExternalQAIT","IT Infrastructure Managers"
"ExternalQACompatLead","Compatibility & Performance Lead Tester"
"ExternalQACompatTester","Compatibility & Performance Testers"
"SeniorWriterTitle","Senior Writer"
"ExternalCommTeam","Communication Partners"
"ExternalCommReberbName","Reverb Inc."
"ExternalCommReberbGeneralManager","General Manager"
"ExternalCommReberbSnrPRManager","Sr PR Manager"
"ExternalCommReberbMktManager","Marketing Manager"
"ExternalCommReberbInfluencersPR","Influencers/Public Relations"
"ExternalCommReberbOnlineMediamanager","Online Media Manager"
"ExternalCommMinuitName","MinuitDouze"
"ExternalCommMinuitCoFounder","Co-founder/Associate Director"
"ExternalCommMinuitPRConsultant","PR Consultant"
"ExternalCommDeadGoodPRName","Dead Good PR"
"ExternalCommDeadGoodPRDirector","Director & Owner"
"ExternalCommDeadGoodPRAccountManager","Account Manager"
"ExternalCommDeadGoodPRDigitalCreatives","Digital Creatives Manager"
"ExternalCommFireName","fire without smoke"
"ExternalCommFireStudioHead","Studio Head"
"ExternalCommFireSnrProd","Senior Producer"
"ExternalCommFireClientDirector","Client Director"
"ExternalCommBobbyName","Bobby Prod"
"ExternalCommBobbyOwner","Owner & Producer"
"ExternalCommBobbyProductionManager","Production Manager"
"ExternalCommREZName","REZ Creative"
"ExternalCommREZDirector","Creative Director & Producer"
"ExternalCommBarbesName","Barbès Prod"
"ExternalCommBarbesCoFounder","Co-founder"
"ExternalCommSeptimeName","Septime Création"
"ExternalCommSeptimeCEO","CEO"
"ExternalCommSeptimeProducer","Project Manager"
"ExternalCommSeptimeBackDev","Lead Back-end & Front-end Dev"
"CNCAcknowledgementTitle","Avec le soutien du FAJV, fonds cofinancé par le Centre National du Cinéma et de l'Image animée et le Ministère de l'Economie et des Finances"
"ExternalProdSweetAName","Sweet Arsenic"
"ExternalProdSweetABusinessManager","Business Manager"
"ExternalProdSweetALeadArtist","Lead Artist"
"External3DProdTeam","3D Art Partners"
"ExternalAnimProdTeam","Animation Partners"
"ExternalProdLeikirName","Leikir"
"ExternalProdOriginalForceName","Original Force LTD"
"ExternalProdAnimator","Animator"
"ExternalProdGameCoName","Gamecostudios Team"
"ExternalProdBusinessDev","Business Development"
"ExternalProdProjectManager","Project Manager"
"ExternalProdArtLead","Art Lead"
"ExternalProdProjectLead","Project Lead"
"ExternalProdQualityCheck","Quality Check"
"ExternalProdKeyArt","GamecoStudios Key Art Artist"
"ExternalProdCharacterArtLead","Character Art Lead"
"ExternalG4FProdName","G4F Prod"
"ExternalG4FRecordsName","G4F Records"
"ExternalG4FVoicesName","G4F Localisation (Voices)"
"ExternalLeadSound","Lead Sound Designer"
"ExternalSoundDesigner","Sound Designer"
"ExternalCFO","CFO"
"ExternalCOO","COO"
"ExternalComposer","Music Composer"
"ExternalLegal","Legal"
"ExternalContentManager","Content Manager"
"ExternalMasterRecordEngineer","Mastering & Recording Engineer"
"ExternalRecordEngineer","Recording Engineer"
"ExternalCopyist","Copyist"
"ExternalMusicians","Musicians"
"ExternalVoiceDirector","Voice Director & Dialog Editor"
"ExternalPMSoundEditor","Project Management & Sound Editor"
"ExternalSoundEditor","Sound Editors"
"ExternalHerosActor","Hero Voice"
"ExternalNPCActor","NPC Voice"
"ExternalRealityzName","Realityz Team"
"LeadLDLB","Lead Level Design & Level Build "
"LDLB","Level Design & Level Build "
"ToolsGameplayProgrammerTitle","Tools & Gameplay Engineer"
"ExternalStudioCreative","Studio Creative Director"
"ExternalUIUX","UI/UX Partners"
"ExternalFigsName","Figs"
"ExternalUIUXJob","UX/UI design by"
"ExternalPlaytestBy","Playtest and reports by"
"ExternalSkillooName","Skilloo"
"TATeamName","Tactical Adventures Team"
"SpecialThanks","Special Thanks"
"ExternalTech","Technical Partners"
"ExternalKnightsName","Knights of Unity"
"ExternalUnityDev","Unity Developer"
"ExternalLoca","Localization Partner"
"ExternalAltaName","Altagram Group"
"ExternalAltaLQA","LQA Test Lead"
"ExternalAltaLingCoord","Linguistic Coordinator"
"Baby","Solastan Baby"
"Pets","Solastan Pets"
"PetsNote","Thank you for all the spilled coffee on the keyboards and the video call intrusions"
"ExternalQAPartners","QA Partners"
"ExternalCSPartners","2D Cutscene Partner"
"ExternalSound","Audio Partners"
