"context","source","target"
"holy axe","Note from Nikannen"
"Hairstyle_A","Pixie Cut"
"Hairstyle_B","Medium"
"Hairstyle_C","Short"
"Hairstyle_D","Bun"
"Hairstyle_E","Crown Braid"
"LongTimeFormat","[TEMP]Game time is {0} on the day of {1} {2} in the year {3} Post Cataclysm"
"SolastanCalendarDescription","The common calendar used in Solasta."
"SolastanCalendarTitle","Solastan Calendar"
"SolastanMonth10Title","Aearun"
"SolastanMonth11Title","Aeardwy"
"SolastanMonth12Title","Aeardair"
"SolastanMonth1Title","Aerun"
"SolastanMonth2Title","Aerdwy"
"SolastanMonth3Title","Aerdair"
"SolastanMonth4Title","Isgeun"
"SolastanMonth5Title","Isgedwy"
"SolastanMonth6Title","Isgedair"
"SolastanMonth7Title","Tanan"
"SolastanMonth8Title","Tanwyn"
"SolastanMonth9Title","Tandair"
"SolastanYearFormat","{0} P.C."
"ArunDescription","The primordial god of the elements and patron of adventurers, peasants, hermits, and all others who value nature above civilization.
The oldest of the Tirmarian deities, Arun is the one to whom humanity first prayed while struggling to survive in a hostile environment. His spouse is Maraike, the goddess of life and death.
His clergy is divided into three main branches, each attached to one of Arun's powers: fire, ice, and lightning."
"ArunTitle","Arun"
"EinarDescription","Einar is the god of valor and fidelity, and the patron of paladins, lawful warriors, and all those who bring light to darkness. The Church of Einar is organized into three Orders: 
The Blade is a militant order, a bulwark against chaos and evil.
The Shield is an order of protectors, devoted to their flock.
The Beacon is an order of itinerant preachers, helping the communities through which they travel with their strength at arms, their healing skills, and their knowledge of the law."
"EinarTitle","Einar"
"MaraikeDescription","The goddess of life and death, the patron of healers and embalmers, and the embodiment of universal duality. Traditionally, she is Arun's wife. Her cult consists of two orders:
The Order of Life Regnant travels the land as healers and defenders. They worship the healing, motherly aspect of Maraike.
The Order of Oblivion is an order of avengers and embalmers. Where evil tries to pervert the cycle of life and death, the Order ensures that the culprits are dealt with, and their undead victims returned to their rest. "
"MaraikeTitle","Maraike"
"MisayeDescription","The goddess of mischief, protector of rogues and swindlers, and patron of all those who chafe against rules and enjoy a little chaos. 
Priests of Misaye seldom live a relaxing life. Usually, they are one step ahead of the law - if they are lucky! Many lead a double life - normal citizens by day and priests of Misaye by night - because the cult of Misaye is outlawed in many nations and barely tolerated in most others."
"MisayeTitle","Misaye"
"PakriDescription","The goddess of law and knowledge and patron of judges and lawyers, teachers, librarians, and scholars.
She gifted humans with the thirst for knowledge so they could learn and develop their society, and the law which preserves civilization. Her clergy is divided into two orders: The Order of the Book includes the most learned lawyer-priests in the world. The Order of the Owl sends its members across the land to help those in need of protection and justice."
"PakriTitle","Pakri"
"DieStyleEbonyTitle","Ebony"
"DieStyleGreenTitle","Green"
"DieStyleIvoryTitle","Ivory"
"DieStyleRubyTitle","Ruby"
"DieStyleStandardTitle","Standard"
"DieStyleYellowTitle","Yellow"
"DieStyleGoldSupporterTitle","Gold"
"DieStyleSilverSupporterTitle","Silver"
"DieStyleBronzeSupporterTitle","Bronze"
"DieStyleDiamondSupporterTitle","Diamond"
"ProxyDancingLightsDescription","Move the lights up to 12 cells"
"ProxyDancingLightsTitle","Dancing Lights"
"ProxyDarknessDescription","An area of magical darkness."
"ProxyDaylightTitle","Daylight"
"ProxyFlamingSphereDescription","Move the sphere up to 6 cells or slam it into an opponent"
"ProxyFlamingSphereTitle","Flaming Sphere"
"ProxyFogCloudDescription","A very thick fog."
"ProxyIndomitableLightTitle","Indomitable Light"
"ProxySleetStormDescription","Sleet Storm"
"ProxySpiritualWeaponDescription","Move the weapon up to 4 cells and strike an opponent"
"ProxySpiritualWeaponTitle","Spiritual Weapon"
"ProxyStinkingCloudDescription","A cloud of incapacitating, noxious gas."
"ProxyWallOfFireDescription","A burning wall that injures creatures in or next to it."
"ProxyWindWallDescription","A wall of wind that causes damage, pushes creatures and objects away, and disperses fogs and gases."
"ProxySilenceDescription","An area of complete silence."
"ProxyIceStormDescription","Ice Storm"
"ProxyGuardianOfFaithDescription","Guardian of Faith"
"ProxyCloudKillDescription","A thick and deadly poisonous fog."
"ProxyWallOfForceDescription","Conjures an invisible wall that blocks movement and attacks."
"ExplosiveRunesDescription","Explosive Runes are inscribed on objects and trigger a fiery blast when this object is interacted with."
"ExplosiveRunesTitle","Explosive Runes"
"PoisonNeedleDescription","A poisoned needle is hidden within a lock, or in something else that a creature might open. Opening the object without the proper key causes the needle to spring out, delivering a dose of poison."
"PoisonNeedleTitle","Poisoned Needle"
"LightningAreaNeedleTitle","Lightning Pillar"
"LightHypersensitivityTitle","Light Hypersensitivity"
"BoulderFallTitle","Boulder Fall"
"SpikesTitle","Spikes"
"ManaWindTitle","Mana Wind"
"LavaburstTitle","Lava Burst"
"PoisonbulbTitle","Poison Bulb"
"ChandelierfallTitle","Chandelier Fall"
"FireburstTitle","Fiery Explosion"
"ArcheryDescription","You gain a +2 bonus to attack rolls with ranged weapons."
"ArcheryTitle","Archery"
"DefenseDescription","While you are wearing armor, you gain a +1 bonus to AC."
"DefenseTitle","Defense"
"DuelingDescription","When you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon."
"DuelingTitle","Dueling"
"GreatWeaponDescription","When you roll a 1 or 2 on a damage die for an attack you make with a melee weapon that you are wielding with two hands, you can reroll the die. You must use the new roll, even if it is a 1 or a 2. The weapon must have the two-handed or versatile property for you to gain this benefit."
"GreatWeaponTitle","Great Weapon Fighting"
"ProtectionDescription","When a creature you can see attacks a target other than you that is within 5 feet of you, you can use your reaction to impose disadvantage on the attack roll. You must be wielding a shield."
"ProtectionTitle","Protection"
"TwoWeaponDescription","When you engage in two-weapon fighting, you can add your ability modifier to the damage of the second attack."
"TwoWeaponTitle","Two Weapon Fighting"
"LeftAlt","LeftAlt + "
"LeftControl","LeftCtrl + "
"LeftShift","LeftShift + "
"MainFormat","Shortcut: {0}"
"OrFormat","or "
"RightAlt","RightAlt + "
"RightControl","RightCtrl + "
"RightShift","RightShift + "
"KnownDescription","You know this creature well."
"KnownTitle","Known (3)"
"MasteredDescription","You know everything about this creature."
"MasteredTitle","Mastered (4)"
"ObservedDescription","You have observed this creature briefly."
"ObservedTitle","Observed (1)"
"StudiedDescription","You have studied this creature."
"StudiedTitle","Studied (2)"
"UnknownDescription","You have never encountered this creature."
"UnknownTitle","Unknown (0)"
"EnterLocationDescription","Have the party enter this location."
"EnterLocationTitle","Enter"
"TravelToLocationDescription","Prepare to travel to this location."
"TravelToLocationTitle","Travel"
"GdprDescription","In order to improve the quality of the game, we will collect gameplay data during your play session. Personal data will not be sent, only game session information."
"GdprTitle","General Data Protection Regulation"
"KickstarterDemoDisclaimerDescription","IMPORTANT DISCLAIMER: YOU are aware that what you intend to download and play is a very early PRE-ALPHA DEMO of the Solasta: Crown of the Magister video game which is still under development. Be sure that OUR team is currently working hard to bring the Solasta: Crown of the Magister video game to a whole new level. The PRE-ALPHA DEMO is made available for free for a limited period of time only. 

The PRE-ALPHA DEMO is hand-crafted to give YOU an early taste of the Solasta: Crown of the Magister video game; the PRE-ALPHA DEMO may contain bugs on rare occasions. YOU are more than welcome to share your feedback and report any problems or bugs on the Steam platform or directly on OUR website www.solasta-game.com. WE need to hear from YOU in order to make a game that is representative of what our community wants.

Some rules and features are missing or are not implemented in the PRE-ALPHA DEMO. For example, the surprise round is not implemented, readying an action is not yet possible, we are too liberal at swapping inventory items, and some spells and effects are missing. We will fix this and try our best to integrate as much content and as many rules as possible for the final game. Some of the game features are also not demonstrated at all in the PRE-ALPHA DEMO but will be part of the final game: creating and leveling up a full party with a wide range of options, playing through a campaign storyline, and much more."
"KickstarterDemoDisclaimerTitle","Demo Version"
"KickstarterDemoDisclaimerTitle2","DISCLAIMER PLACEHOLDER"
