"context","source","target"
"Authority_Description","A tendency to enforce rules and beliefs with authority and leadership."
"Authority_Title","Authority"
"Cynicism_Description","A tendency to scoff at principles and values."
"Cynicism_Title","Cynicism"
"Formal_Description","This character uses complete sentences, with technical or academic vocabulary."
"Formal_Title","Formal"
"Friendliness_Description","A tendency to care about others, preferring to make friends rather than enemies."
"Friendliness_Title","Kindness"
"Greed_Description","A tendency to value wealth and comfort above all else."
"Greed_Title","Greed"
"Helpfulness_Description","A tendency to always try to help those in need."
"Helpfulness_Title","Altruism"
"Lawfulness_Description","A tendency to follow rules, laws, and order rather than chaos."
"Lawfulness_Title","Lawfulness"
"Normal_Description","This character speaks like most folk do, neither overly formal nor overly colloquial."
"Normal_Title","Casual"
"Pragmatism_Description","A tendency to value practicality over principles."
"Pragmatism_Title","Pragmatism"
"Selfishness_Description","A tendency to put oneself, friends, and family first, at the expense of others."
"Selfishness_Title","Egoism"
"SelfPreservation_Description","A tendency to take care of one's own safety above all."
"SelfPreservation_Title","Caution"
"Slang_Description","This character uses slang extensively, including crude and vulgar language on occasion."
"Slang_Title","Slang"
"Violence_Description","A tendency to solve problems with violence, even when there are other options."
"Violence_Title","Violence"
