"context","source","target"
"Abjuration_Caravan_EncounterDescription","You came across a caravan, a rare thing in these desolate lands."
"Abjuration_Caravan_EncounterTitle","Unexpected Encounter"
"Abjuration_Ruins01_EncounterDescription","As you traveled through the Badlands towards Coparann, Kythaela asked you to stop near an old ruin…"
"Abjuration_Ruins01_EncounterTitle","Ashes of Manacalon"
"Abjuration_Ruins02_EncounterDescription","Kythaela stopped again, and asked to enter what seems to be an old Imperial prison."
"Abjuration_Ruins02_EncounterTitle","Dungeons of Manacalon"
"BadlandsSpidersEncounterDescription","You must have roamed close to a nest: a handful of these little monsters wants you dead."
"BadlandsSpidersEncounterTitle","Badlands Spiders"
"BanditsEncounterDescription","Robbers in search of easy prey - preferably wealthy."
"BanditsEncounterTitle","Bandits"
"CrownAttunementEncounterDescription","Your party is forced to stop for an unplanned short rest. Something is wrong."
"CrownAttunementEncounterTitle","A Troubled Night"
"DeepSpidersEncounterTitle","Deep Spiders"
"EagleNestEncounterDescription","You've wandered too close to a nest! The eagles will fight to the death to protect their young!"
"EagleNestEncounterTitle","Eagle Nest"
"FlyingSnakesEncounterDescription","A bevy of flying snakes who want you away from their eggs."
"FlyingSnakesEncounterTitle","Brimstone Vipers"
"GoblinCrusadersDescription","A goblin shaman and his followers in search of glory."
"GoblinCrusadersTitle","Goblin Crusade"
"GoblinhuntingpartyEncounterDescription","Goblins on the hunt with their tame wolves."
"GoblinhuntingpartyEncounterTitle","Goblin Hunting Party"
"GoblinWarPartyDescription","A band of goblin skirmishers looking for trouble."
"GoblinWarPartyTitle","Goblin War Party"
"OrcMaraudersTitle","Orc Marauders"
"OrcRaidersDescription","An orc chieftain leading a band of warriors in search of scars and glory."
"OrcRaidersTitle","Orc Raiders"
"WinterWolfpackEncounterDescription","A terrible winter wolf, on the hunt with a few normal wolves."
"WinterWolfpackEncounterTitle","Winter Wolf and Pack"
"WolfpackEncounterDescription","A pack of ravenous wolves, desperate for a kill."
"WolfpackEncounterTitle","Wolf Pack"
"DeepSpidersEncounterDescription","A huge party of deep spiders looking to feed their spiderlings."
"DeathGangTitle","Death Gang"
"DeathGangDescription","Roaming skeletons, escaped from some desecrated tomb."
"DeathSquadTitle","Death Squad"
"RoamingFanaticsTitle","Roaming Fanatics"
"RoamingFanaticsDescription","A couple of acolytes led by a charismatic leader."
"ApprenticeNecromancerTitle","Apprentice Necromancer"
"ApprenticeNecromancerDescription","A student of magic with a bunch of his rotting creations."
"SpiesOnTheRunTitle","Spies on the Run"
"SpiesOnTheRunDescription","A couple of spies trying to escape enemy intelligence… at all costs."
"GlorySeekerTitle","Glory Seeker"
"GlorySeekerDescription","A veteran soldier roaming the roads in search for death on the battlefield."
"BerserkerBrothersTitle","Berserker Brothers"
"BerserkerBrothersDescription","Like-minded fighters in search for blood. Preferably yours."
"StainedHunterTitle","Stained Hunter"
"StainedHunterDescription","A lonely wanderer of the Badlands who's been corrupted by chaotic magic."
"HungryWolvesTitle","Hungry Wolves"
"HungryWolvesDescription","A small pack of wolves, famished and weakened."
"GoblinScoutsTitle","Goblin Scouts"
"GoblinScoutsDescription","A small group of goblins with their pet wolf."
"LoneOgreTitle","Lone Ogre"
"LoneOgreDescription","A wandering ogre, probably lost and definitely looking for something - or someone - to eat."
"OrcBandTitle","Orc Band"
"OrcBandDescription","A small bunch of orcs, looking for something to kill."
"RoamingUndeadsTitle","Roaming Undeads"
"RoamingUndeadsDescription","A group of undeads, wandering around and looking to end a few lives."
