"context","source","target"
"_Item_RingOfProtection_plus_one_Title","Ring of Protection +1"
"_Item_RingOfProtection_plus_one_Unidentified_Description","This ring bears a shield-shaped signet. It may have magical properties."
"_Item_RingOfProtection_plus_one_Unidentified_Title","Precious Ring"
"Abjuration_MonasteryJournal_Content","It has now been one week since we were transported to this wretched place! I think the gods have abandoned us! Of our monastery, the only building missing is the temple and its two resident priests! In its place, we have this weird construction, just out of reach of the pier, which we can't even enter. 

All the survivors are scared. They are turning to me for comforting words, but I am only a novice, not yet ready to be a priest. Like them, I am a refugee who fled Sorr-Tarr and his vile servant.

I do not know where we are, but we are far from home. Our little valley is a small pocket of Tirmar, lost - I don't know where!"
"Abjuration_MonasteryJournal_Content2","Strange beasts roam the night, but for some reason they do not dare to enter our valley.

I buried my daughter last night. She died as much from despair as from the rockslide and the earthquake. Now, I wait for my own end.

Traveler - if you read this, say a prayer for our souls, for I cannot. I reject the gods whose folly brought us here! I curse them all!

The beasts have grown bolder, but they still avoid our valley. A pity, since I could use the meat. I am surviving on grain and vegetables, but solitude makes for hard labor and my strength is not what it was."
"Abjuration_MonasteryJournal_Content3","It has been 40 years. I am the last one, an old man now! I buried them all - all! But I could not bring myself to give the last rites. No - the gods left us to rot here, and I refused to send our souls back to them!

Emtan Darwaz, last of the Sandblaze Monastery"
"Abjuration_MonasteryJournal_Description","A page from a journal found in the monastery. Such a journal would be of great interest to certain Council factions, as it shows that some side-effects of the Cataclysm were very far-reaching."
"Abjuration_MonasteryJournal_Title","Journal of Emtan Darwaz"
"AmmoPackFormat","{0} x{1}"
"AntitoxinDescription","A protective decoction that increases resistance to poison for an hour. (Advantage to saving throws against poison)"
"AntitoxinTitle","Antitoxin"
"ArcaneFocusCrystalTitle","Crystal"
"ArcaneFocusGeneralDescription","A sorcerer, warlock, or wizard can use this kind of item as a spellcasting focus."
"ArcaneFocusOrbTitle","Orb"
"ArcaneFocusRodTitle","Rod"
"ArcaneFocusStaffTitle","Staff"
"ArcaneFocusWandTitle","Wand"
"Armor_Adventuring_Wizard_OutfitDescription","Sturdy yet elegant clothes, equipped with straps and pockets for spellbooks and components. Provides no armor protection."
"Armor_Adventuring_Wizard_OutfitTitle","Adventuring Wizard's Clothing"
"Armor_BreastplateDescription","This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
"Armor_BreastplateTitle","Breastplate"
"Armor_ChainMailDescription","Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets."
"Armor_ChainMailTitle","Chain Mail"
"Armor_ChainShirtDescription","Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
"Armor_ChainShirtTitle","Chain Shirt"
"Armor_Commoner_ClothesDescription","Basic clothing made of wool, leather, and linen."
"Armor_Commoner_ClothesTitle","Commoner's Clothing"
"Armor_Dwarven_HalfPlateDescription","Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. This armor is decorated in the dwarven style."
"Armor_Dwarven_HalfPlateTitle","Dwarven Half Plate"
"Armor_HalfPlateDescription","Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps."
"Armor_HalfPlateTitle","Half Plate"
"Armor_HideDescription","This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor."
"Armor_HideTitle","Hide"
"Armor_LeatherDescription","The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials."
"Armor_LeatherTitle","Leather"
"Armor_Noble_ClothesDescription","Fine clothes of costly fabrics, decorated with gold or silver embroidery."
"Armor_Noble_ClothesTitle","Noble Clothes"
"Armor_PaddedDescription","Padded armor consists of quilted layers of cloth and batting."
"Armor_PaddedTitle","Padded"
"Armor_PlateDescription","Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body."
"Armor_PlateTitle","Plate"
"Armor_RingMailDescription","This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor."
"Armor_RingMailTitle","Ring Mail"
"Armor_ScaleMailDescription","This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets."
"Armor_ScaleMailTitle","Scale Mail"
"Armor_Scavenger_Outfit_01_Description","A simple outfit of leather, linen, and wool, showing signs of old age and dirt."
"Armor_Scavenger_Outfit_01_Title","Scavenger Ranger Outfit"
"Armor_Scavenger_Outfit_02_Description","A simple outfit of leather, linen, and wool, showing signs of old age and dirt."
"Armor_Scavenger_Outfit_02_Title","Scavenger Scout Outfit"
"Armor_Scholar_ClothesDescription","An elegant outfit of fine fabric, with rich decoration."
