"context","source","target"
"AlertDescription","Trained to maintain high awareness in all situations, you gain the following benefits:"
"AlertTitle","Vigilant"
"ArmorMasterDescription","You are an expert in the use of armor in battle. You gain an additional +1 AC from any armor you wear."
"ArmorMasterTitle","Armor Master"
"Creed_Of_ArunTitle","Creed of Arun"
"Creed_Of_EinarTitle","Creed of Einar"
"Creed_Of_MaraikeTitle","Creed of Maraike"
"Creed_Of_MisayeTitle","Creed of Misaye"
"Creed_Of_PakriTitle","Creed of Pakri"
"Creed_Of_SolastaTitle","Creed of Solasta"
"EnduringBodyDescription","Increase your Constitution by 1 (max 20) and your hit points increase by an additional +1 each time you gain a level."
"EnduringBodyTitle","Enduring Body"
"FlawlessConcentrationDescription","You are trained to maintain your concentration in the most extreme conditions.
If you sustain up to 10 points of damage, you don't need to roll a Constitution saving throw to maintain concentration. 
Above that value, you have advantage when rolling the saving throw."
"FlawlessConcentrationTitle","Flawless Concentration"
"FocusedSleeperDescription","You are used to getting a great deal of rest out of just a little sleep. Increase your Constitution by 1 (max 20), and you only need four hours of sleep per night."
"FocusedSleeperTitle","Focused Sleeper"
"HardToKillTitle","Hard to Kill"
"HaulerTitle","Hauler"
"LockbreakerDescription","You have spent a lot of time studying locks - how to craft them and how to pick them. You gain proficiency with thieves' tools, or double your existing proficiency if you are already proficient. You have advantage when using thieves' tools to pick locks."
"LockbreakerTitle","Lock Breaker"
"LocksmithDescription","Should not be displayed"
"LocksmithTitle","Should not be displayed"
"ManipulatorTitle","Manipulator"
"MasterAlchemistDescription","You have mastered the art of potion making. You need half the normal time to craft a potion and your proficiency bonus is doubled when making the roll to determine whether your crafting progresses.
You have expert knowledge of all potions and can identify them automatically."
"MasterAlchemistTitle","Master Alchemist"
"MasterEnchanterDescription","You have mastered the art of enchanting items. You spend half the normal time to enchant an item and your proficiency bonus is doubled when performing the roll to determine whether your crafting progresses"
"MasterEnchanterTitle","Master Enchanter"
"MightOfTheIronLegionDescription","+1 STR to a maximum of 20
You gain proficiency with Heavy Armor.
You gain proficiency with Longswords, Greatswords, and Battleaxes."
"MightOfTheIronLegionTitle","Might of the Iron Legion"
"RobustDescription","Sturdy and tough, you increase your Constitution score by 1 (max 20) and when you use a hit die to regain hit points, roll twice and take the higher value."
"RobustTitle","Robust"
"Creed_Of_EinarDescription","+1 STR to a maximum of 20
Proficiency in STR saves if not already proficient; +1 otherwise"
"Creed_Of_MaraikeDescription","+1 WIS to a maximum of 20
Proficiency in WIS saves if not already proficient; +1 otherwise"
"Creed_Of_MisayeDescription","+1 DEX to a maximum of 20
Proficiency in DEX saves if not already proficient; +1 otherwise"
"Creed_Of_PakriDescription","+1 INT to a maximum of 20
Proficiency in INT saves if not already proficient; +1 otherwise"
"Creed_Of_SolastaDescription","+1 CHA to a maximum of 20 
Proficiency in CHA saves if not already proficient; +1 otherwise"
"PowerfulCantripTitle","Powerful Cantrip"
"PowerfulCantripDescription","When a creature succeeds on a saving throw against your cantrip or dodges your cantrip, the creature takes half damage but suffers no additional effect from the cantrip."
"UncannyAccuracyDescription","+1 DEX to a maximum of 20
You ignore half and three-quarters cover with your ranged attacks."
"UncannyAccuracyTitle","Uncanny Accuracy"
"HardToKillDescription","+1 CON to a maximum of 20
You have advantage on death saving throws. If you succeed three times, you are not only stabilized, but you regain one hit die immediately. On a critical roll, you regain two hit dice instead."
"HaulerDescription","You are trained to carry heavy loads. Increase your Strength by 1 (max 20), and your carrying capacity is doubled."
"ManipulatorDescription","You gain proficiency in Intimidation, Persuasion, and Deception. If you were already proficient, you gain expertise instead in the corresponding skill."
"EagerForBattleDescription","+1 DEX to a maximum of 20 
You have advantage on your initiative rolls."
"EagerForBattleTitle","Eager for Battle"
"SturdinessOfTheTundraDescription","+1 CON to a maximum of 20 
You gain proficiency with Medium Armor.
You gain proficiency with Warhammers, and Light and Heavy Crossbows."
"SturdinessOfTheTundraTitle","Sturdiness of the Tundra"
"DiscretionOfTheCoedymwarthDescription","+1 DEX to a maximum of 20 
You gain proficiency with Light Armor.
You gain proficiency with Shortswords, Shortbows, and Longbows."
"DiscretionOfTheCoedymwarthTitle","Discretion of the Coedymwarth"
"AmbidextrousDescription","+1 to DEX to a maximum of 20
You can fight using two weapons, even if the one-handed melee weapons aren't light."
"AmbidextrousTitle","Ambidextrous"
"RaiseShieldDescription","When you are about to get hit by a ranged attack while wielding a shield, you can use your reaction to get +3 AC until the end of the attacker's turn. You also gain proficiency with shields."
"RaiseShieldTitle","Raise Shield"
"TwinBladeDescription","When you are about to get hit by a melee attack while dual-wielding (not sword + shield), you can use your reaction to get +3 AC until the end of the attacker's turn."
"TwinBladeTitle","Twin Blade "
"TakeAimDescription","You can use your bonus action to take aim. Until the end of your turn, your ranged weapon attacks have no disadvantage or advantage, no matter the conditions."
"TakeAimTitle","Take Aim"
"RushToBattleDescription","You can use your bonus action to increase your movement speed by 3 cells until the end of your turn, and get -2 to your AC, until the start of your next turn."
"RushToBattleTitle","Rush to Battle "
"FollowUpStrikeDescription","When you use the Attack action with a two-handed weapon, you can use a bonus action to make a fast melee attack to follow up, dealing an additional 1d4 + STR bonus damage of the same type. "
"FollowUpStrikeTitle","Follow Up Strike"
"Creed_Of_ArunDescription","+1 CON to a maximum of 20
Proficiency in CON saves if not already proficient; +1 otherwise"
