"context","source","target"
"AbilityCheckAdvantageFormat","Advantage on {0} ability checks."
"AbilityCheckAutomaticallyFailedFormat","Automatically fails {0} ability checks"
"AbilityCheckBonusFormat","{0} on {1} ability checks."
"AbilityCheckBonusWithDiceFormat","{0}{1} on {2} ability checks."
"AbilityCheckDisadvantageFormat","Disadvantage on {0} ability checks."
"AbilityScoreChoiceDescription","Choose between increasing your ability scores or gaining a bonus feat."
"AbilityScoreChoiceTitle","Ability Score Choice"
"AbilityScoreImprovementDescription","Increase two ability scores of your choice by 1 point each, or a single score by 2 points."
"AbilityScoreImprovementTitle","Ability Score"
"AbilityScoreIncreaseAdvancedTitle","Ability score + Skill + Feat"
"AbilityScoreIncreaseTitle","Ability Score Increase"
"AcademicFeatureDescription","You still have ties to the Antiquarians and your relationship with them is already good."
"AcademicFeatureTitle","Runaway Antiquarian"
"AcademicSkillsDescription","Proficient in Arcana, Nature, and Insight."
"AcademicSkillsTitle","Bookworm"
"AcademicToolsDescription","Proficient with the Manacalon rosary, supposed to be useful to enchant items."
"AcademicToolsTitle","Enchanter"
"AcolyteFeatureDescription","You start with a good reputation with the clerics of your faith, and have discounts at the main temple in the Principality's capital city."
"AcolyteFeatureTitle","Shelter of the Faithful"
"AcolyteSkillsDescription","Proficient in Religion, Nature, and Insight."
"AcolyteSkillsTitle","Religious Training"
"AcolyteSkillsToolsDescription","Proficient with the herbalism kit."
"AcolyteSkillsToolsTitle","Potion Making"
"ActionAffinityHunterGiantKillerDescription","When a large or larger creature within one cell of you hits or misses you with an attack, you can use your reaction to attack that creature immediately after its attack, provided that you can see the creature."
"ActionAffinityHunterGiantKillerTitle","Giant Killer"
"ActionAffinityMarksmanReactionShotDescription","When a visible opponent 2 cells or more from you attacks you with a ranged weapon or a spell, you can use your reaction to take a shot after the triggering attack."
"ActionAffinityMarksmanReactionShotTitle","Reaction Shot"
"AdditionalActionHunterHordeBreakerDescription","Once on each of your turns when you down an opponent, you can make another attack with the same weapon against a different creature."
"AdditionalActionHunterHordeBreakerTitle","Horde Breaker"
"AdditionalDamageDomainOblivionStrikeOblivionDescription","+1d6 necrotic damage on your first attack of your turn."
"AdditionalDamageDomainOblivionStrikeOblivionTitle","Strike of Oblivion"
"AdditionalDamageHunterColossusSlayerDescription","Your tenacity can wear down the most potent of foes. When you hit a creature with a weapon attack, the creature takes an extra 1d8 damage if it's below its hit point maximum. You can deal this extra damage only once per turn."
"AdditionalDamageHunterColossusSlayerTitle","Colossus Slayer"
"AdditionalFallThreshold","Can fall without harm from {0} cells."
"AffectedSpellsFormat","Works on the following spells: {0}."
"AndLine","AND"
"AristocratFeatureDescription","People from the nobility recognize you as one of them, which can be helpful in some situations."
"AristocratFeatureTitle","Blue Blood"
"AristocratSkillsDescription","Proficient in History, Persuasion, and Intimidation"
"AristocratSkillsTitle","Higher Education"
"ArmorTrainingDescription","Proficient with {0}"
"ArmorTrainingShortDescription","{0}"
"AttackModifierAdditionalTagFormat","Attack is {0}"
"AttackModifierAttackRollFormat","{0} to attack rolls"
"AttackModifierDamageRollFormat","{0} to damage rolls"
"AttributeIncreaseAllDescription","+{0} to all ability scores"
"AttributeIncreaseAny1Description","Increase one ability score"
"AttributeIncreaseAnyNDescription","Increase {0} ability scores"
"AttributeIncreaseDescription","{0} + {1}"
"AttributeModifierAdditiveDescription","{0} + {1}"
"AttributeModifierMultiplicativeDescription","{0} x {1}"
"AttributeModifierSetDescription","{0} is set to {1}"
"AttributeSetDescription","{0} is set to {1}"
"AuraOfCourageDescription","You and allies within 10 feet cannot be frightened while you are conscious. At 18th level, the range becomes 30 feet."
"AuraOfCourageTitle","Aura of Courage"
"AuraOfProtectionDescription","Grants a saving throw bonus to your surrounding allies, equal to your CHA modifier (min 1)."
"AuraOfProtectionTitle","Aura of Protection"
"AutoPreparedSpellsFormat","Level {0}: {1}"
"AutoPreparedSpellsOathOfDevotionTitle","Oath of Devotion Spells"
"AutoPreparedSpellsOathOfMotherlandTitle","Oath of the Motherland Spells"
"AutoPreparedSpellsOathOfTirmarTitle","Oath of Tirmar Spells"
"Background01LanguagesTitle","Choose one additional language."
"Background02LanguagesTitle","Choose two additional languages."
"BackgroundLanguages","Additional languages"
"BonusFeatDescription","Select an additional feat for your character."
"BonusFeatTitle","Bonus Feat"
"CampAffinityElfTranceDescription","4 hours of meditation are sufficient to rest."
"CampAffinityElfTranceTitle","Trance"
"CantTakeActionFormat","Cannot take action: {0}"
"ClericArmorProficiencyTitle","Cleric Armor Proficiencies"
"ClericChannelDivinityAddDescription","+1 Channel Divinity use between rests."
"ClericChannelDivinityAddTitle","Channel Divinity (increased)"
"ClericChannelDivinityDescription","Can use Channel Divinity actions once between rests."
"ClericChannelDivinityTitle","Channel Divinity"
"ClericDivineDomainsDescription","Choose one of the divine domains granted by your deity."
