"context","source","target"
"AbilityCheckConsoleAnyAdvantageLine","{0} rolls a {1} ability check against DC {2}, rolls {3} {4}, {5}"
"AbilityCheckConsoleAnyAdvantageNoModifierLine","{0} rolls a {1} ability check against DC {2}, rolls {3} {4}"
"AbilityCheckConsoleLine","{0} rolls a {1} ability check against DC {2}, rolls {3} = {4}"
"AbilityCheckConsoleNoModifierLine","{0} rolls a {1} ability check against DC {2}, rolls {3} "
"AbilityCheckFailedFormat","Failed"
"AbilityCheckFailureNarrationLine","{0} check: Failure!"
"AbilityCheckFailureOutcome","{0} (Failure)"
"AbilityCheckSuccessNarrationLine","{0} check: Success!"
"AbilityCheckSuccessOutcome","{0} (Success)"
"ActivatePowerLine","{0} activates the {1} power"
"ActivatePowerWithChanelDivinityLine","{0} channels divinity to activate {1}"
"ActivatePowerWithSpellSlotLine","{0} activates {1} with a level {2} spell slot"
"AdditionalDamageArcaneFuryFormat","Arcane Fury!"
"AdditionalDamageArcaneFuryLine","{0} deals more damage to {1} from Arcane Furry (+{2})"
"AdditionalDamageBestowCurseFormat","Attack on Cursed!"
"AdditionalDamageBestowCurseLine","{0} deals more damage to cursed {1} (+{2})"
"AdditionalDamageBrandingSmiteFormat","Branding Smite!"
"AdditionalDamageBrandingSmiteLine","{0} deals more damage to {1} through a branding smite (+{2})"
"AdditionalDamageColossusSlayerFormat","Colossus Slayer!"
"AdditionalDamageColossusSlayerLine","{0} deals more damage to wounded {1} (+{2})"
"AdditionalDamageDarkSlayerFormat","Dark Slayer!"
"AdditionalDamageDarkSlayerLine","{0} deals more damage to creatures with superior darkvision {1} (+{2})"
"AdditionalDamageDecisiveStrikeFormat","Decisive Strike!"
"AdditionalDamageDecisiveStrikeLine","{0} strikes {1} (+{2})"
"AdditionalDamageDivineFavorFormat","Divine Favor!"
"AdditionalDamageDivineFavorLine","{0} deals more damage to {1} through divine favor (+{2})"
"AdditionalDamageDivineSmiteFormat","Smite!"
"AdditionalDamageDivineSmiteLine","{0} smites {1} (+{2})"
"AdditionalDamageFavoredEnemyFormat","Favored Enemy!"
"AdditionalDamageFavoredEnemyLine","{0} deals more damage to {1} as a favored enemy type (+{2})"
"AdditionalDamageHuntersMarkFormat","Hunter's Mark!"
"AdditionalDamageHuntersMarkLine","{0} deals more damage to {1} as a marked target (+{2})"
"AdditionalDamagePredatorFormat","Predator!"
"AdditionalDamagePredatorLine","{0} deals more damage to {1} from higher ground (+{2})"
"AdditionalDamageSmiteTheHiddenDarkvisionFormat","Smite the Hidden!"
"AdditionalDamageSmiteTheHiddenDarkvisionLine","{0} deals more damage to {1}, Scourge of the Hidden with Darkvision (+{2})"
"AdditionalDamageSmiteTheHiddenShapechangerFormat","Smite the Hidden!"
"AdditionalDamageSmiteTheHiddenShapechangerLine","{0} deals more damage to {1}, Scourge of the Hidden with shapechanger (+{2})"
"AdditionalDamageSneakAttackFormat","Sneak Attack!"
"AdditionalDamageSneakAttackLine","{0} performs a sneak attack on {1} (+{2})"
"AdditionalDamageStrikeOblivionFormat","Strike of Oblivion!"
"AdditionalDamageStrikeOblivionLine","{0} deals more damage to {1} with Strike of Oblivion (+{2})"
"AdvantageRollDescription","Rolling with advantage means you roll two d20s and keep the better result."
"AdvantageRollOutcome","with advantage"
"AlreadySuccessfulCaptionFormat","Already Successful"
"AttackConsoleLine","{0} attacks {1} with {2}, rolls {3} = {4}"
"AttackConsoleLineAnyAdvantage","{0} attacks {1} with {2}, rolls{3} {4} = {5}"
"AttackConsoleLineAnyAdvantageNoModifier","{0} attacks {1} with {2}, rolls{3} {4}"
"AttackConsoleLineAutomaticHit","{0} attacks {1} with {2} and automatically hits"
"AttackConsoleLineNoModifier","{0} attacks {1} with {2}, rolls {3}"
"AttackFailureFormat","Attack Miss ({0})"
"AttackFailureOutcome","{0} (Miss)"
"AttackOfOpportunityFormat","Opportunity Attack"
"AttackOfOpportunityLine","{0} performs an opportunity attack against {1}"
"AttackSuccessFormat","Attack Hit ({0})"
"AttackSuccessOutcome","{0} (Hit)"
"BrightLightCaption","Bright light"
"BrightLightDescription","The creature is in bright light."
"CannotHealFormat","Cannot Heal!"
"CannotReceiveAnyHealingLine","{0} cannot receive any healing"
"CheckFailureCaption","Failure"
"CheckSuccessCaption","Success"
"ConcentrationCheckRolledAnyAdvantageLine","{0} rolls to maintain concentration {1} versus DC {2}, rolls {3} = {4}"
"ConcentrationCheckRolledAnyAdvantageNoModifierLine","{0} rolls to maintain concentration {1} versus DC {2}, rolls {3}"
"ConcentrationCheckRolledLine","{0} rolls to maintain concentration versus DC {1}, rolls {2} = {3}"
"ConcentrationCheckRolledNoModifierLine","{0} rolls to maintain concentration versus DC {1}, rolls {2}"
"ConcentrationLostLine","{0} loses concentration on {1}"
"ConditionAddedHasLine","{0} now has {1}"
"ConditionAddedLine","{0} is now {1}"
"ConditionRemovedHasLine","{0} no longer has {1}"
"ConditionRemovedLine","{0} is no longer {1}"
"ContestCheckConsoleBothAdvantageLine","{0} contests {1}, {2} against {3}, rolls {4} {5} against {6} {7} {8}"
"ContestCheckConsoleLine","{0} contests {1}, {2} against {3}, rolls {4} against {5} {6}"
"ContestCheckConsoleMainAdvantageLine","{0} contests {1}, {2} against {3}, rolls {4} {5} against {6} {7}"
"ContestCheckConsoleOpponentAdvantageLine","{0} contests {1}, {2} against {3}, rolls {4} against {5} {6} {7}"
"ContestFailure","Failure"
"ContestSuccess","Success"
"ConversationClickTitle","Click to read"
"ConversationRecordedLine","Conversation Recorded {0} {1}"
"CoverFullCaption","out of sight"
"CoverHalfCaption","1/2 cover"
"CoverThreeQuarterCaption","3/4 cover"
"CriticalAbilityCheckFailureOutcome","{0} (CRITICAL FAILURE)"
"CriticalAbilityCheckOutcome","{0} (CRITICAL SUCCESS)"
"CriticalAttackFailureOutcome","{0} (CRITICAL MISS)"
"CriticalAttackFormat","Critical Attack!"
"CriticalAttackOutcome","{0} (CRITICAL HIT)"
"CriticalFailureFormat","Critical Failure!"
"DarknessCaption","Magical Darkness"
"DarknessDescription","The creature is in magical darkness."
"DeadlyFallLine","{0} fell to their death."
"DeathSaveAnyAdvantageConsoleLine","{0} rolls a death saving throw {1}: {2}"
"DeathSaveConsoleLine","{0} rolls a death saving throw: {1}"
"DeathSaveCriticalFailureFormat","{0} Critical Failure"
"DeathSaveCriticalFailureLine","{0} death save failures added to {1}"
"DeathSaveCriticalSuccessFormat","{0} Critical Success"
"DeathSaveCriticalSuccessLine","{0} regains 1 hit point and stabilizes."
"DeathSaveFailureFormat","{0} Failure"
"DeathSaveFailuresAddedLine","{0} death save failure added to {1}"
"DeathSaveRegainLifeLine","Thanks to {0}, {1} is brought back to {2} hit points"
"DeathSaveSuccessAddedLine","{0} death save success added to {1}"
"DeathSaveSuccessFormat","{0} Success"
"DetectedDefeatFormat","You have been detected! Use cautious mode next time."
"DeviceAutoIdentifiedLine","Thanks to a greater knowledge of this type of item, {0} has identified {1}"
"DimLightCaption","Dim light"
"DisadvantageRollDescription","Rolling with disadvantage means you roll two d20s and keep the worst result."
"DisadvantageRollOutcome","with disadvantage"
"ExperienceGainedFormat","+{0}XP"
"ExperienceGainedLine","{0} gains {1}XP"
"FragileGroundDetectedFormat","Fragile ground detected"
"FragileGroundTrigerredFormat","Fragile ground broken"
"GameAutoSavedLine","Game auto saved"
"GameQuickSavedLine","Game quick saved"
"GameSavedLine","Game saved"
"HiddenObjectRevealedFormat","Object Revealed"
"HiddenObjectRevealedLine","{0} has revealed a hidden object"
"ImmuneToConditionFormat","Immune"
"ImmuneToDamageFormat","Immune {0}"
"ImmuneToDamageLine","{0} is immune to {1} damage"
"ImmuneToSpellFormat","Immune {0}"
"ImmuneToSpellLine","{0} is immune to the {1} spell"
"InflictedDamageLine","{0} sustains damage: {1}"
"InitiativeCaption","Initiative"
"InitiativeConsoleLine","{0} rolls initiative: {1} = {2}"
"InitiativeConsoleLineAdvantage","{0} rolls initiative{1}: {2} = {3}"
"InitiativeFormat","Initiative {0}"
"InsightAutomaticFailureLine","{0} automatically fails an Insight (Wisdom) check: dialog success odds are hidden."
"InsightAutomaticSuccessLine","{0} automatically succeeds on an Insight (Wisdom) check: dialog success odds are revealed."
"InsightCriticalFailureLine","{0} critically fails an Insight (Wisdom) check: dialog success odds are hidden."
"InsightCriticalSuccessLine","{0} scores a critical success on an Insight (Wisdom) check: dialog success odds are revealed."
"InsightFailureLine","{0} fails an Insight (Wisdom) check: dialog success odds are hidden."
"InsightSuccessLine","{0} succeeds on an Insight (Wisdom) check: dialog success odds are revealed."
"ItemConsumedCaption","{0} consumed"
"ItemConsumedLine","{0} has fully consumed an item: {1}"
"ItemGainedLine","{0} gains an item: {1}"
"ItemSpellCastLine","and casts the {0} spell"
"ItemUsedLastChargeDestroyLine","Last charge spent: {0} is destroyed"
"ItemUsedLastChargeRollDestroyLine","Last charge spent and {1} is rolled on d20: {0} is destroyed"
"ItemUsedLastChargeRollNotDestroyLine","Last charge spent and {1} is rolled on d20: {0} is preserved"
"ItemUsedLine","{0} uses the {1} item"
"ItemUsedSpellCastLine","{0} uses the {1} item and casts the {2} spell"
"LongRestCompletedLine","Long rest completed. Units of food consumed: {0}"
"MagicalHitPointsPoolRolledLine","{0} rolls a pool of {1} hit points for {2}"
"NeedFlamingTagFormat","Need a flaming item"
"ObservationFailedFormat","Observation failed"
"ObservationSuccessfulFormat","Observation successful"
"OutOfAttackUsesLine","{0} has run out of ammo/uses for ""{1}"""
"OverConcentrationUsedLine","{0} sustains {1} damage, but does not roll for concentration because of {2}"
"PathFailedFormat","No path to destination!"
"PreventedFromActingCaption","Cannot Act!"
"PreventedFromActingHasLine","{0} has {1} and fails to act this turn"
"PreventedFromActingLine","{0} is {1} and fails to act this turn"
"ReadiedActionTriggeredCaptionFormat","Readied action triggered"
"ReceivedHealingFullLine","{0} is already at full health"
"ReceivedHealingFromInflictedDamageFullLine","{0} regains life from the inflicted damage"
"ReceivedHealingFromInflictedDamageHalfLine","{0} regains life from half the inflicted damage"
"ReceivedHealingLine","{0} is healed {1} hit point(s)"
"ReceivedTemporaryHitPointsFailureLine","{0} cannot receive any temporary hit points"
"ReceivedTemporaryHitPointsSuccessLine","{0} now has {1} temporary hit point(s)"
"RitualCastLine","{0} casts the {1} spell as a ritual"
"RollAttackCriticalFailureTitle","Critical Miss"
"RollAttackCriticalSuccessTitle","Critical Hit"
"RollAttackFailureTitle","Miss"
"RollAttackSuccessTitle","Hit"
"RollCheckCriticalFailureTitle","Critical Failure"
"RollCheckCriticalSuccessTitle","Critical Success"
"RollCheckFailureTitle","Failure"
"RollCheckSuccessTitle","Success"
"SaveCaptionFormat","{0} Save"
"SaveConsoleAnyAdvantageLine","{0} rolls a {1} save against {2} (DC{3}), rolls {4} {5} = {6}"
"SaveConsoleAnyAdvantageNoModifierLine","{0} rolls a {1} save against {2} (DC {3}), rolls {4} {5}"
"SaveConsoleLine","{0} rolls a {1} save against {2} (DC{3}), rolls {4} = {5}"
"SaveConsoleNoModifierLine","{0} rolls a {1} save against {2} (DC {3}), rolls {4} "
"SaveFailureOutcome","{0} Fails"
"SaveSuccessFormat","Saves"
"SaveSuccessOutcome","{0} (Success)"
"ShortRestCompletedLine","Short rest completed."
"SleightOfHandDetectedCaptionFormat","Detected!"
"SleightOfHandDetectedLine","{0} was detected by {1} while attempting to steal items"
"SleightOfHandNotEnoughRoomCaptionFormat","Inventory full."
"SleightOfHandNotEnoughRoomLine","{0} does not have enough room in their inventory to steal items from {1}"
"SleightOfHandNothingToStealCaptionFormat","Nothing to steal."
"SleightOfHandNothingToStealLine","{0} cannot steal anything more from {1}"
"SleightOfHandSuccessCaptionFormat","Success!"
"SleightOfHandSuccessLine","Challenge"
"SpellcastingFailedCaption","Cast Failed!"
"SpellcastingFailedLine","{0} fails to cast the {1} spell"
"SpellCastLine","{0} casts the {1} spell"
"SpellCastSuperiorSlotLine","{0} casts {1} with a level {2} slot"
"SpellCounteredFailLine","{0} fails to counter the {2} spell cast by {1}"
"SpellCounteredSuccessLine","{0} counters the {2} spell cast by {1}"
"SpellCounterFailFormat","Counter Fail!"
"SpellCounterSuccessFormat","Counter!"
"SpellDissipatedFailureLine","{0} fails to dispel the effect of the {1} spell on  "
"SpellDissipatedFormat","Dispelled!"
"SpellDissipatedOnTargetFailureLine","{0} fails to dispel the effect of the {1} spell on {2}"
"SpellDissipatedOnTargetSuccessLine","{0} dispels the effect of the {1} spell on {2}"
"SpellDissipatedSuccessLine","{0} dispels the effect of the {1} spell"
"SpellScribedLine","{0} tries to copy the {1} spell into a spellbook {2}"
"SpellSlotsRecoveredLine","{0} recovers spell slots: {1}"
"SuccessOddsLine","Success Odds: {0}"
"TrackDetectedFormat","Tracks spotted"
"TrapDetectedFormat","Trap detected"
"TrapDisarmedFormat","Trap disarmed"
"TrapDisarmFailedFormat","Disarm Failed"
"TrapTriggeredFormat","Trap triggered"
"CharmedEnemyRemovedFromArea","{0} left the area"
"UnlitCaption","No light"
"UnlitDescription","The creature is unlit. Attack rolls against it will be made with disadvantage."
"CraftingAttemptedLine","{0} is attempting to craft {1}"
"StealthBrokenByForce","{0} has been revealed and is no longer hidden."
"StealthBrokenByEnemy","{0} has been detected by {1} and is no longer hidden."
"StealthNotBroken","{0} managed to remain hidden."
"PartyMoneyGainedLine","The party gains {0}."
"FreeBrokFirst","You must free Brok before you can take a long rest."
"AdditionalDamagePoisonFormat","Poison!"
"AdditionalDamagePoisonLine","{0} deals additional poison damage to {1} (+{2})."
"RegenerationSuccessCaption","Regenerate"
"RegenerationSuccessLine","{0} regenerates hit points."
"RegenerationFailureLine","{0} cannot regenerate after having received {1} damage."
"DimLightDescription","The creature is in dim light."
"MajorGateDestinationUnlocked_Title","You have unlocked a new teleportation destination using the Major Gate network."
"AbilityScoreIncreasedValueAndMaxLine","{0} increases his/her {1} score by {2}, and its maximum value by {3}."
"AbilityScoreIncreasedValueLine","{0} increases his/her {1} score by {2}."
"AbilityScoreIncreasedMaxLine","{0} increases his/her {1} score maximum value by {2}."
"ResistantToDamageLine","{0} is resistant to {1} damage and only takes half damage."
"ResistantToDamageFormat","Resists {0}"
