"context","source","target"
"CurrentAndTemporaryHitPointsDescription","This creature's current hit points + temporary hit points. Temporary hit points are lost first.  "
"CurrentHitPointsDescription","This creature's current hit points."
"DifficultyEasyFormat","Easy"
"DifficultyHardFormat","Hard"
"DifficultyMediumFormat","Medium"
"DifficultyVeryHardFormat","Very Hard"
"HealthPlusTemporaryFormat","{0} + {1}"
"ItemIdentifiedTitle","The item has been identified: {0}"
"LevelAndClassAndSubclassFormat","lvl {0} {1} ({2})"
"LevelAndClassNoSubclassFormat","lvl {0} {1}"
"LevelAndExperienceFormat","Level {0}, Experience: {1}
{2} more experience points required to reach level {3}"
"LevelAndExperienceMaxedFormat","Level {0}, Experience: {1}
Max level reached."
"LevelFormat","Level {0}"
"MaxHealthFormat","of {0} HP"
"Rank1Title","1st"
"Rank2Title","2nd"
"Rank3Title","3rd"
"Rank4Title","4th"
"Rank5Title","5th"
"Rank6Title","6th"
"Rank7Title","7th"
"Rank8Title","8th"
"Rank9Title","9th"
"RevealedEvilTitle","Malign"
"RevealedGoodTitle","Benevolent"
"RevealedMagicalTitle","Magic Detected"
"RevealedPoisonTitle","Poisonous"
"WorldDistanceFormat","{0} Miles"
"ItemIdentifiedNothingNewTitle","Nothing more found on the {0} item"
