"context","source","target"
"CampfireTitle","Campfire"
"CampfireDescription","An interactive campfire used to start a long rest for the party"
"ChestTitle","Chest"
"ChestDescription","A container for loot"
"DoubleDoorTitle","Double Door"
"DoubleDoorDescription","A simple door to open"
"EntranceTitle","Entrance"
"EntranceDescription","The starting point for the party "
"ExitTitle","Exit"
"ExitDescription","An exit point for the party. Can lead to another user location"
"HiddenDoorTitle","Hidden Door"
"HiddenDoorDescription","A door which requires a perception check to be spotted"
"InteractiveTorchTitle","Interactive Torch"
"InteractiveTorchDescription","A wall torch which can be dynamically lit/unlit"
"LoreAreaTitle","Lore Area"
"LoreAreaDescription","Stepping into this area will display a text"
"MonsterMTitle","Monster M"
"MonsterMDescription","Generates one medium (or smaller) monster at the gadget position"
"MonsterLTitle","Monster L"
"MonsterLDescription","Generates one large monster at the gadget position"
"MonsterMMultipleTitle","Monster Multi M"
"MonsterMMultipleDescription","Generates a number of medium (or smaller) monsters at the gadget position"
"TrapTitle","Trap"
"TrapDescription","A trap that is activated by stepping on the surface it occupies"
"VirtualLoreTitle","Virtual Lore"
"VirtualLoreDescription","An interaction displaying a lore text, which can be placed on any prop"
"VirtualLootTitle","Virtual Loot"
"VirtualLootDescription","A generic purpose loot interaction, which can be placed on any prop to simulate a container"
"ParameterExplicitItemsTitle","Explicit Items"
"ParameterLootPackTitle","Loot Pack"
"ParameterItemListTitle","Items List"
"ParameterParam_LockedTitle","Locked"
"ParameterUnlock_DCTitle","Unlock DC"
"ParameterParam_TrappedTitle","Trapped"
"ParameterPerception_DCTitle","Perception DC"
"ParameterDisarm_DCTitle","Disarm DC"
"ParameterReveal_DCTitle","Reveal DC"
"ParameterTrapEffectTitle","Trap Effect"
"ParameterEntranceIndexTitle","Entrance Index"
"ParameterDestinationLocationTitle","Destination Location"
"ParameterCreatureTitle","Creature"
"ParameterQuantityTitle","Quantity"
"ParameterPerceptionDCTitle","Perception DC"
"ParameterSpeechTitle","Speech"
"ParameterEncounterGroupTitle","Encounter Group"
"ParameterGroupIndexTitle","Group Index"
"ParameterExplicitItemsDescription","Determines whether the content will be a predefined loot pack, or an explicit list of items"
"ParameterLootPackDescription","A predefined list of items, some of which will be rolled randomly"
"ParameterItemListDescription","Specify an explicit list of items that will be spawned in the container"
"ParameterParam_LockedDescription","Determines whether this gadget is locked"
"ParameterUnlock_DCDescription","The difficulty class to unlock this gadget"
"ParameterParam_TrappedDescription","Determines whether this gadget is trapped"
"ParameterPerception_DCDescription","The difficulty class to spot the trap on this gadget"
"ParameterDisarm_DCDescription","The difficulty class to disarm the trap on this gadget"
"ParameterReveal_DCDescription","The difficulty class to reveal this gadget"
"ParameterTrapEffectDescription","The type of effect that impacts the affected creatures when this trap is triggered"
"ParameterEntranceIndexDescription","A location can be entered from several entry points. This index is used to specify the entrance an exit gadget leads to"
"ParameterDestinationLocationDescription","Destination Location"
"ParameterCreatureDescription","The type of spawned creature"
"ParameterQuantityDescription","The number of creatures"
