"context","source","target"
"Location_AbjurationRiverPass_Description","Following the steps of Kythaela, you came across a ruined keep beside a river. Apparently, a caravan has set up camp there - a rarity in these desolate lands."
"Location_AbjurationRiverPass_Title","River Pass"
"Location_AbjurationRiverPass_UnchartedDescription","Should not be displayed"
"Location_AbjurationRiverPass_UnchartedTitle","Should not be displayed"
"Location_AbjurationRiverPass_UnvisitedDescription","Following the steps of Kythaela, you came across a ruined keep beside a river. Apparently, a caravan has set up camp there - a rarity in these desolate lands."
"Location_AbjurationRiverPass_UnvisitedTitle","River Pass"
"Location_AbjurationRuinedKeep_Description","Near this ruined Tirmarian monastery, inside a Manacalon mausoleum, you found an elf wizard, seemingly kept in a trance ever since the Cataclysm."
"Location_AbjurationRuinedKeep_Title","Tirmarian Ruins"
"Location_AbjurationRuinedKeep_UnchartedDescription","The crownbearer saw an image of this place. It's possible the Crown sent a hint of where to look for one of its gems. Investigate this location."
"Location_AbjurationRuinedKeep_UnchartedTitle","Possible Gem Location"
"Location_AbjurationRuinedKeep_UnvisitedDescription","This dry river bed holds an old Tirmarian monastery and a Solastan building."
"Location_AbjurationRuinedKeep_UnvisitedTitle","Tirmarian Ruins"
"Location_AerElai_Description","Here, near the ancient Manacalon capital, the Rift that almost destroyed Solasta opened - and was eventually closed. The land bears the scars of the Cataclysm."
"Location_AerElai_Title","The Aer-Elai"
"Location_AerElai_UnchartedDescription","Should not be displayed"
"Location_AerElai_UnchartedTitle","Should not be displayed"
"Location_AerElai_UnvisitedDescription","Should not be displayed"
"Location_AerElai_UnvisitedTitle","Should not be displayed"
"Location_BoneKeep_Castle_Title","Keep Entrance"
"Location_BoneKeep_Cemetery_Title","Cemetery"
"Location_BoneKeep_Courtyard_Title","Courtyard"
"Location_BoneKeep_Description","The ancient Master of Necromancy was hiding with his gem in this massive and forbidding keep, surrounded by undead creatures and other dangers."
"Location_BoneKeep_DrainPipe_Title","Drains"
"Location_BoneKeep_DrainPipeCourtyard_Title","Drain Access from Courtyard"
"Location_BoneKeep_DrainPipeStoreHouse_Title","Drain Access from Storehouse"
"Location_BoneKeep_DrainPipeWell_Title","Drain Access from Well"
"Location_BoneKeep_Laboratory_Access_Title","Basement Entrance"
"Location_BoneKeep_Laboratory_Title","Laboratory"
"Location_BoneKeep_Lair_Title","Defiler's Lair"
"Location_BoneKeep_Pond_Title","Pond"
"Location_BoneKeep_Sewers_Title","Sewers"
"Location_BoneKeep_Solar_Access_Title","Second Floor Entrance"
"Location_BoneKeep_Solar_Title","The Solar"
"Location_BoneKeep_Solar_Tower_Title","Solar Tower"
"Location_BoneKeep_Title","Bone Keep"
"Location_BoneKeep_UnchartedDescription","The crownbearer saw an image of this place. It's possible the Crown sent a hint of where to look for one of its gems. Investigate this location."
"Location_BoneKeep_UnchartedTitle","Possible Gem Location"
"Location_BoneKeep_UnvisitedDescription","A gigantic keep rises out of the woods. One of the Crown's gems might be within."
"Location_BoneKeep_UnvisitedTitle","Dark Castle"
"Location_CaerLem_BridgeTitle","Rotating Bridge"
"Location_CaerLem_Exit_Title","Exit"
