"context","source","target"
"AbortCreationDescription","Do you want to cancel character creation?"
"AbortCreationTitle","Canceling Character Creation"
"AbortLevelUpDescription","Are you sure you want to cancel the character level-up process?"
"AbortLevelUpTitle","Canceling Character Level Up"
"AttunementLostDescription","The item ""{0}"" is no longer attuned."
"AttunementLostTitle","Attunement Lost"
"AttunementRemovalDescription","Are you sure you want to remove attunement to this item?"
"AttunementRemovalTitle","Removing Attunement"
"AttunementReplacementDescription","This item is currently attuned to {0}. Are you sure you want to attune it to {1}?"
"AttunementReplacementTitle","Attunement Replacement"
"CannotLoad","Cannot Load Now"
"CannotSave","Cannot Save Now"
"CharacterDeletionDescription","Are you sure you want to delete this character? This action cannot be undone."
"CharacterDeletionTitle","Character Deletion"
"ConcentrationLossDescription","Casting the {0} spell will make you lose concentration on the {1} spell. Are you sure you want to proceed?"
"ConcentrationLossTitle","Concentration Loss"
"CraftingAbortDescription","Are you sure you want to abort this craft operation? All progress and spent ingredients will be lost."
"CraftingAbortTitle","Abort Crafting"
"FastTravelConfirmationDescription","Are you sure you want to fast travel to this destination? (Time will be fast-forwarded accordingly.) "
"FastTravelConfirmationTitle","Fast Travel"
"FastTravelErrorPathNotFoundDescription","You cannot fast travel to this destination as the path is blocked."
"FastTravelErrorTitle","Fast Travel"
"FastTravelExitLocationDescription","Are you sure you wish to fast travel to this exit and leave the area? (Time will be fast-forwarded accordingly.) "
"FastTravelExitLocationTitle","Fast Travel and Leave Area"
"IdentificationCancelledTitle","The item identification has been canceled."
"IncompletePreparationDescription","You have not prepared all the spells you can. Are you sure you want to continue?"
"IncompletePreparationTitle","Incomplete Spell Preparation"
"ItemsOnGroundDescription","Items on the ground will be lost if you leave this screen. Are you sure you wish to proceed?"
"ItemsOnGroundTitle","Losing Items"
"LegalDisagreeAndQuitDescription","Since you have not agreed with these terms, the application will now quit."
"LegalDisagreeAndQuitTitle","Quitting the Game"
"MessageCancelTitle","Cancel"
"MessageNoTitle","No"
"MessageOkTitle","OK"
"MessageYesTitle","Yes"
"PartyLosesGoldPieces","Party loses {0} gold pieces"
"QuitLocationDescription","You are about to leave the current area. Proceed?"
"QuitLocationTitle","Leave Area"
"ResumeCampDescription","Do you want to resume camping?"
"ResumeCampTitle","Resume Camping"
"ResumeRestDescription","Do you want to continue your long rest?"
"ResumeRestTitle","Resume Long Rest"
"SavedGameDeleteDescription","Are you sure you want to permanently delete saved game ""{0}""?"
"SavedGameDeleteTitle","Delete Saved Game"
"SavedGameOverwriteDescription","Are you sure you want to overwrite saved game ""{0}"" with your current game status?"
"SavedGameOverwriteTitle","Overwrite Saved Game"
"ScrollScribeDestructionDescription","Scribing the spell into the selected spellbook will destroy the scroll. Are you sure you want to proceed?"
"ScrollScribeDestructionTitle","Scribe Scroll"
"SessionCancelDescription","Are you sure you want to leave the setup of this new adventure?"
"SessionCancelTitle","Cancel Adventure"
"SettingConfirmSettingsDescription","Are you sure you want to keep the selected settings changes?"
"SettingConfirmSettingsTitle","Confirm Settings"
"SettingExitWithoutApplyDescription","Are you sure you want to close this panel and discard all the changes you have made?"
"SettingExitWithoutApplyTitle","Discarding Changes"
"SkipLevelUpFormat","You have not completed the level up sequence for {0}. Are you sure you want to exit?"
"SkipLevelUpTitle","Skipping Character Level Up"
"WaitForLongRestDescription","You have already performed a long rest today. Would you like to wait until the start of a new day?"
"WaitForLongRestTitle","Waiting to Perform a Long Rest"
"EndEarlyAccessDescription","You have reached the end of the Early Access playable content. You will now return to the main menu."
"EndEarlyAccessTitle","End of Early Access"
"EndEarlyAccessMainMenuTitle","Main Menu"
"EndEarlyAccessContinuePlayingTitle","Continue Playing"
"MessageKeyAlreadyBoundTitle","Key Already Bound"
"MessageKeyAlreadyBoundDescription","The {0} key is already bound to the {1} command"
"MessageOverrideTitle","Override"
"SettingDefaultSettingsDescription","Are you sure you want to reset to the default values for this category of settings?"
"SettingDefaultSettingsTitle","Resetting to Default Settings"
"RestartRequiredDescription","You need to restart the application to apply this change"
"RestartRequiredTitle","Restart Required"
"ScrollScribeAlreadyInSpellbookDescription","The {0} spell is already in this spellbook"
"ScrollScribeAlreadyInSpellbookTitle","Already in Spellbook"
"MandatoryDestinationFormat","You have to travel to ""{0}"""
"CharacterCannotMove","{0} cannot move at all."
"OverrideCustomDifficultyTitle","Override Custom Settings"
"OverrideCustomDifficultyDescription","This will revert all custom settings you may have tuned in the Game Settings menu. Do you wish to continue?"
"SteamInitFailedDescription","Could not connect to the Steam client. Please ensure that you launch the game via Steam. A Steam Client restart may be required. The game will now exit."
"SteamInitFailedTitle","Steam Failed to Initialize"
"NativeCrashDetectedTitle","Game Not Exited Properly"
"NativeCrashDetectedDescription","The game was not exited properly. If you are seeing this message for the first time, we recommend that you lower the graphics settings and report this to our team in the forum."
"EndEarlyAccessDescription2","You have reached the end of the Early Access. The main story cannot be played any further, but you can travel around, collect stuff, and complete optional quests."
"TravelAbortedDescription","Travel aborted. The party will stop at the next location."
"CharactersNotUpdatedTitle","Update Character Files"
"CharactersNotUpdatedDescription","Some character files have not been updated. Are you sure you wish to continue?"
"GdkSignedOutTitle","Sign Out"
"GdkSignedOutDescription","You have been signed out of Xbox Live. The game will now close. [Please reconnect to Xbox Live and start the game again.]"
"GdkCloudDataSavedFailedTitle","Cloud Save Failed"
"GdkCloudDataSavedFailedDescription","There was an error saving your content to the cloud servers. [Please try again later.]"
"GdkCloudDataDeletedTitle","Cloud Deletion Failed"
"GdkCloudDataDeletedDescription","There was an error deleting your content from the cloud servers. [Please try again later.]"
"UserLocationDeleteConfirmationTitle","Location Deletion"
"UserLocationDeleteConfirmationDescription","Are you sure you want to delete this user location?"
"UserLocationOverwriteConfirmationTitle","Location Overwrite"
"UserLocationOverwriteConfirmationDescription","Saving this location with this name will overwrite another location with the same name. Are you sure you want to proceed?"
"EditorLeaveConfirmationTitle","Leaving Editor"
"EditorLeaveConfirmationDescription","Are you sure you want to leave without saving your location?"
"HiddenDoorTitle","Hidden Door!"
"UnknownUserLocationDescription","Unknown user location: {0}"
"InvalidUserLocationEntranceIndexDescription","The target entrance index is invalid: {0}"
"UserLocationSizeReductionTitle","Size Reduction"
"UserLocationSizeReductionDescription","Reducing the size of this location may destroy some rooms and props, starting from the top right. Are you sure you want to proceed?"
"UserLocationOutdatedTitle","Outdated Location"
"UserLocationOutdatedDescription","One or more locations has outdated content (room, gadget, prop) which has been removed"
"UserLocationEnvironmentChangeTitle","Environment Change"
"UserLocationEnvironmentChangeDescription","Changing the location of this environment will remove some incompatible rooms, props, and/or gadgets. Are you sure you want to proceed?"
"UserLocationEmptyTitleTitle","Invalid Title"
"UserLocationEmptyTitleDescription","You must enter a valid title for your user location"
"EditorLocationSwitchConfirmationTitle","User Location Switch"
"EditorLocationSwitchConfirmationDescription","The location ""{0}"" has unsaved changes. Are you sure you want to open the location ""{1}"" and lose these changes?"
"UserLocationDuplicateTitleTitle","Duplicate Title"
"UserLocationDuplicateTitleDescription","A location bearing the same name already exists"
"UserCampaignDeleteConfirmationTitle","Campaign Deletion"
"UserCampaignDeleteConfirmationDescription","Are you sure you want to delete this user campaign?"
"UserCampaignOverwriteConfirmationTitle","Campaign Overwrite"
"UserCampaignOverwriteConfirmationDescription","Saving this campaign with this name will overwrite another campaign with the same name. Are you sure you want to proceed?"
"UserCampaignLosingChangesTitle","Losing Changes"
"UserCampaignLosingChangesDescription","You are about to lose the changes to this campaign. Are you sure you want to proceed?"
"UnknownUserCampaignDescription","Unknown user campaign: {0}"
"QuitWithoutSavingIronManTitle","Impossible to save"
"QuitWithoutSavingIronManDescription","The game cannot be saved at the moment and some progress may be lost. Quit anyway?"
