"context","source","target"
"AssertionFailedTtitle","Assertion Failed"
"CampaignSelectionButtonTitle","Select"
"CampaignSelectionTitle","Campaign"
"CampCaptionMultipleHoursFormat","The party is setting camp for {0} hours."
"CampCaptionSingleHourFormat","The party is setting camp for an hour."
"CancelButtonTitle","Cancel"
"CancelPrepareDescription","Cancel any changes made in this panel."
"CancelPrepareTitle","Cancel"
"CharacterReviveMessageCancel","Cancel"
"CharacterReviveMessageContent","This option has a long activation time and may invalidate other time-based options. Do you want to continue?"
"CharacterReviveMessageTitle","Warning"
"CharacterReviveMessageValidate","Accept"
"CharacterReviveModalHeaderPluralTitle","Revive All Dead Characters"
"CharacterReviveModalHeaderSingularTitle","Revive Dead Character"
"CharacterReviveModalSubTitle","You cannot continue the adventure with one or more dead characters. Select an option."
"CharacterReviveModalTooLateFormat","It is too late to use this option on {0}."
"DefeatDescription","The party had no way to revive their dead - game over! Try giving Revivify scrolls to characters who can use them."
"DefeatTitle","Game Over"
"DeleteButtonTitle","Delete"
"EquipementSelectionDescription","Select your preferred equipment options."
"EquipementSelectionTitle","Equipment Choice"
"ErrorModalContinuePlayingTitle","Continue Playing"
"ErrorModalCopyToClipboardTitle","Copy to Clipboard"
"ErrorModalIgnoreErrorTitle","Ignore this Error"
"ErrorModalQuitTitle","Quit the Game"
"ErrorModalTitle","A serious error has occurred."
"ExceptionModalTitle","A critical exception has occurred."
"FactionRedeemCostDescription","Redeeming an item is often more profitable than selling it to a merchant"
"FactionRedeemInstructionsDescription","Redeeming items with the ""{0}"" faction will earn you money and improve your relations with this faction."
"FactionRedeemRelationDescription","Your relations with that faction improve"
"FactionRedeemRelationGainFormat","{0} Relation"
"FactionRedeemSelectTitle","Select an item to redeem"
"HigherLevelFeaturesTitle","Higher Level Features"
"InterruptCraftingCompleteTitle","Interrupt when an item has been crafted."
"InterruptLevelUpAvailableTitle","Interrupt when a character can level up."
"InterruptLongRestCompleteTitle","Interrupt when the long rest has been completed."
"LoadButtonTitle","Load"
"LoadGameHeader","Load"
"LoadGamePlaceholder","Select a saved game."
"LoadingProceedButtonTitle","Click or press any key to start."
"LoadingTitle","Loading… please wait"
"LoadLastSaveDescription","Resume playing from your last saved game"
"LoadLastSaveTitle","Restart From Last Save"
"MonsterListingCaption","{0} is concentrating to determine the presence of monsters in the area… "
"MonsterListingFavoredEnemyTitle","Favored Enemy"
"MonsterListingNotPerceivedTitle","None"
"MonsterListingPerceivedTitle","Present"
"NumberSelectionInstructionTitle","How Many Points?"
"NumberSelectionValidateTitle","Validate"
"PartyWaitMinutesPluralFormat","The party is waiting for {0} minutes."
"PartyWaitMinutesSingleFormat","The party is waiting for {0} minute."
"RequiredRestsMultipleFormat","{0} long rests"
"RequiredRestsNoneFormat","None"
"RequiredRestsSingleFormat","1 long rest"
"RequiredRestsTitle","Required Rests"
"ResetDefaultsDescription","Click to reset travel settings to default value."
"ResetDefaultsTitle","Reset Defaults"
"SaveButtonTitle","Save"
"SaveGameHeader","Save"
"SaveGamePlaceholder","Enter a filename or select a saved game."
"SelectCharacterMultipleTitle","Select one or more characters."
"SelectCharacterSingleTitle","Select a Character"
"SelectTitle","Select"
"StartTravelDescription","Initiates the travel to the selected location."
"StartTravelTitle","Start Traveling"
