"context","source","target"
"Acolyte_Description","A wandering cleric seeking glory and battle."
"Acolyte_Title","Acolyte"
"Archmage_Description","An evil mage who has sought an isolated location to perform unspeakable experiments without interference."
"Archmage_Title","Archmage"
"Badlands Hunter_Description","A wandering ranger seeking glory and battle."
"Badlands Hunter_Title","Badlands Hunter"
"BanditCaptain_Description","An experienced bandit, much more skilled than his followers."
"BanditCaptain_Title","Bandit Captain"
"Berserker_Description","Hailing from barbaric lands, berserkers come together in war parties to seek battle."
"Berserker_Title","Berserker"
"BroodOfBloodDescription","Spawned by a Defiler, this is a bloodthirsty creature."
"BroodOfBloodTitle","Brood of Blood"
"BroodOfDreadDescription","Spawned by a Defiler, this is a bloodthirsty creature."
"BroodOfDreadTitle","Brood of Dread"
"BroodOfFleshDescription","Spawned by a Defiler, this is a bloodthirsty creature."
"BroodOfFleshTitle","Brood of Flesh"
"CultFanatic_Description","Part of a cult's leadership, these fanatics use their dogma and charisma to influence and prey on the weak-willed."
"CultFanatic_Title","Cult Fanatic"
"Darkweaver_Description","A wandering rogue seeking glory and battle."
"Darkweaver_Title","Darkweaver"
"DireWolf_Description","A particularly large wolf."
"DireWolf_Title","Dire Wolf"
"EagleMatriarchDescription","A very large eagle found in the Marches."
"EagleMatriarchTitle","Eagle Matriarch"
"FireSpider_Description","A giant spider fused with a small fire elemental by the weird magical influence of the Badlands."
"FireSpider_Title","Fire Spider"
"FlyingSnakeDescription","A winged snake found in the Badlands."
"FlyingSnakeTitle","Brimstone Viper"
"GargoyleDescription","[TEMP] TBD"
"GargoyleTitle","Gargoyle"
"Generic_ShockArcanist_Description","A powerful battle wizard looking for a challenge."
"Generic_ShockArcanist_Title","Shock Arcanist"
"Generic_Warlord_Description","A very experienced and powerful fighter who has gathered followers and won territories."
"Generic_Warlord_Title","Warlord"
"GhastDescription","A more powerful kind of ghoul, known for its terrible stench."
"GhastTitle","Badlands Ghast"
"Ghost_Description","A powerful, ethereal undead creature."
"Ghost_Title","Spectral Avenger"
"GhostWolf_Description","A dead wolf raised by necromantic power."
"GhostWolf_Title","Ghost Wolf"
"GhoulDescription","A ravenous undead creature, constantly searching for flesh to eat."
"GhoulTitle","Ghoul"
"GiantEagle_Description","A giant eagle, corrupted by the magical fluxes of the Badlands."
"GiantEagle_Title","Badlands Eagle"
"GiantSpiderDescription","Very large spiders, they live in the depths of the Badlands and are sensitive to light."
"GiantSpiderTitle","Deep Spider"
"GoblinDescription","A greenish, evil little creature."
"GoblinShaman_Description","A goblin with quasi-clerical powers."
"GoblinShamanTitle","Goblin Shaman"
"GoblinSkirmisherDescription","A goblin archer."
"GoblinSkirmisherTitle","Goblin Skirmisher"
"GoblinTitle","Goblin"
"Guard_Description","A low-ranking soldier, used to perform mundane security tasks."
