"context","source","target"
"NecromancyTextObj01","Caer Tenarion. Iron Legion XXV. Year 24, Emperor Gwaltrian III"
"NecromancyTextObj02","Iron Legion XXV. The Glorious Dead"
"NecromancyTextObj03","Officers of the Glorious Iron Legion XXV. 24 Gwalt. III 13 Mel. II"
"NecromancyTextObj04","Officers - Leg. XXV. 17 Mar. XV "
"NecromancyTextObj05","Captain Fancy-pants can muck out his own damn horse."
"NecromancyTextObj09","Ellivir Malorian, Guard Captain, 1875-2367"
"NecromancyTextObj10","Faorilith Goriel, Apprentice, 2206-2293"
"NecromancyTextObj11","Halithir Marbilor, Adept, 2615-3210"
"NecromancyTextObj12","Dariel Fallithir, Guard, 1120-1536"
"NecromancyTextObj13","Larillir Saotharin, Cook, 1347-2512"
"NecromancyTextObj14","Principles of Animation, by Niolias Falamil"
"NecromancyTextObj15","The Experiments of Auralithas"
"NecromancyTextObj16","Necromantic Laboratory Practice, by Master Mardracht"
"NecromancyTextObj17","Caution: Explosive"
"NecromancyTextObj18","Caution: Highly Flammable"
"NecromancyTextObj20","Spirit and Flesh: Advanced Studies in Necromancy"
"NecromancyTextObj21","The Forbidden Testaments of Marbethin"
"NecromancyTextObj22","Notes on recent experiments, 3042-3"
"NecromancyTextObj23","A strange-looking symbol, probably mystical."
"NecromancyTextObj24","A rune or glyph of some unknown type."
"NecromancyTextObj25","A mystical symbol, possibly inactive."
"NecromancyTextObj26","What's wrong with all these mirrors?"
"NecromancyTextObj27","A very odd painting."
"TextOnlyNPCSpeech_CityGuard01_01","The bridge is closed for now."
"TextOnlyNPCSpeech_CityGuard01_02","The Council is in the opposite direction."
"TextOnlyNPCSpeech_CityGuard02_01","There's trouble on the road. Please remain in town for now."
"TextOnlyNPCSpeech_CityGuard02_02","Please stay in the high town for now."
"TextOnlyNPCSpeech_MaddyGreenisle01","Clear skies, citizens!"
"TextOnlyNPCSpeech_AnnieBagmordah01","We'll talk after your swearing-in."
"TextOnlyNPCSpeech_AnnieBagmordah02","I'll be with you in a minute."
"TextOnlyNPCSpeech_HugoRequer01","Let's get you deputized, first, shall we?"
"TextOnlyNPCSpeech_HugoRequer02","I'm in the middle of something - sorry!"
"TextOnlyNPCSpeech_GorimIronsoot01","Lord Carran said not to bother you… yet."
"TextOnlyNPCSpeech_GorimIronsoot02","Come back later. I'm busy with the accounts."
"TextOnlyNPCSpeech_KarelMartel","Lord Carran said no more beer… sorry!"
"TextOnlyNPCSpeech_MayorBrightSpark01","I'm busy. Come back later."
"TextOnlyNPCSpeech_MayorBrightSpark02","Oh, it's you. Well, I'm still busy. Thank you for your service."
"TextOnlyNPCSpeech_MayorBrightSpark03","Look who's here - Caer Cyflen's rising stars!"
"TextOnlyNPCSpeech_MayorBrightSpark04","Council business is not my business. Be on your way."
"TextOnlyNPCSpeech_MayorBrightSpark05","We knew this war was looming. We'll prevail, as always."
"TextOnlyNPCSpeech_ArwinMerton01","Go get killed in the Badlands…"
"TextOnlyNPCSpeech_ArwinMerton02","You were still filling your diapers when I killed my first ghoul…"
