"context","source","target"
"Room/&Corner_12CTitle","Corner"
"Room/&Crossroad_12CTitle","Crossroad"
"Room/&Hallway_12CTitle","Hallway"
"Room/&Line_12CTitle","Line"
"Room/&Room_Big_24CTitle","Big Room"
"Room/&Room_Small_24CTitle","Small Room"
"Room/&Line_24CTitle","Corridor"
"Room/&Turn_12CTitle","Turn"
"Room/&Room_Big_48CTitle","Huge Room"
"Room/&Clearing_Large_24CTitle","Large Clearing"
"Room/&Clearing_Small_12CTitle","Small Clearing"
"Room/&Curve_12CTitle","Small curved room"
"Room/&Curve_24CTitle","Big curved room"
"Room/&Curve_U_24CTitle","Big curved room"
"Room/&Pond_Large_24CTitle","Large Pond"
"Room/&Pond_Small_12CTitle","Small Pond"
"Room/&Building_Lodge_24CTitle","Large Lodge"
"Room/&Building_Cabin_12CTitle","Small Cabin"
"Room/&Ruin_Large_24CTitle","Large Clearing with ruins"
"Room/&Ruin_Small_12CTitle","Small Clearing with ruins"
