"context","source","target"
"AbilityAndSkillFormat","{0} ({1})"
"AbilityCheckFormat","{0} d20{1}"
"AbilityCheckVersusDcFormat","{0} d20{1} vs DC {2}"
"AbilityScoreBonusFormat","+ Ability Bonus"
"ActivationTypeActionTitle","Action"
"ActivationTypeBonusActionTitle","Bonus act."
"ActivationTypeHours1Title","1 hour"
"ActivationTypeHours24Title","24 hours"
"ActivationTypeMinute10Title","10 minutes"
"ActivationTypeMinute1Title","1 minute"
"ActivationTypeNoCostTitle","Free act."
"ActivationTypeOnAttackHitTitle","On hit"
"ActivationTypeOnAttackHitWithBowTitle","On hit (bow)"
"ActivationTypePermanentUnlessIncapacitatedTitle","Permanent"
"ActivationTypeReactionTitle","Reaction"
"ActivationTypeRestDescription","This power can be activated during a rest"
"ActivationTypeRestTitle","Rest"
"AlignmentDescription","A typical creature in the game world has an alignment, which broadly describes its moral and personal attitudes. Alignment is a combination of two factors: one identifies morality (good, evil, or neutral), and the other describes attitudes toward society and order (lawful, chaotic, or neutral)."
"AlignmentTitle","Alignment"
"AlterationFormExtinguishFireFormat","Puts out fires"
"AlterationFormExtinguishLightFormat","Puts out lights"
"AlterationFormRemoveDarknessFormat","Removes Darkness"
"AlterationFormRevealTrapFormat","Reveals traps"
"AlterationFormUnlockFormat","Unlocks a target object"
"ChallengeDifficultyDeadlyTitle","Deadly"
"ChallengeDifficultyEasyTitle","Easy"
"ChallengeDifficultyHardTitle","Hard"
"ChallengeDifficultyMediumTitle","Medium"
"ConditionAcidifiedDescription","Taking acid damage each turn until the effect ends."
"ConditionAcidifiedTitle","Acidified"
"ConditionAidedDescription","Hit points (maximum/current) increased by 5 + advancement."
"ConditionAidedTitle","Aided"
"ConditionAntitoxin","Advantage on Constitution saving throws against poison."
"ConditionAsleepDescription","Unable to act until awoken"
"ConditionAsleepTitle","Asleep"
"ConditionAuraOfCourageDescription","Immunity from being frightened."
"ConditionAuraOfCourageTitle","Aura of Courage"
"ConditionAuraOfProtectionDescription","{0} bonus to saving throws."
"ConditionAuraOfProtectionTitle","Aura of Protection"
"ConditionBackFromTheDead1Description","-1 penalty on attack rolls, saving throws and ability checks. Complete a long rest to reduce the penalty."
"ConditionBackFromTheDead2Description","-2 penalty on attack rolls, saving throws and ability checks. Complete a long rest to reduce the penalty."
"ConditionBackFromTheDead3Description","-3 penalty on attack rolls, saving throws and ability checks. Complete a long rest to reduce the penalty."
"ConditionBackFromTheDead4Description","-4 penalty on attack rolls, saving throws and ability checks. Complete a long rest to reduce the penalty."
"ConditionBackFromTheDeadTitle","Back from the Dead"
"ConditionBanedDescription","-1d4 to attacks, -1d4 to saving throws."
"ConditionBanedTitle","Banestruck"
"ConditionBarkskinDescription","The creature's Armor Class becomes at least 16."
"ConditionBarkskinTitle","Barkskin"
"ConditionBeaconOfHopeDescription","Advantage on Wisdom and death saving throws; healing restores maximum possible hit points."
"ConditionBeaconOfHopeTitle","Beacon of Hope"
"ConditionBearsEnduranceDescription","Advantage on Constitution saving throws."
"ConditionBlessedDescription","+1d4 to attacks, +1d4 to saving throws."
"ConditionBlessedTitle","Blessed"
"ConditionBlessingSorr-TarrTitle","Blessing of Sorr-Tarr"
"ConditionBlindedDescription","Cannot see anything; disadvantage on attacks; attacks against the creature have advantage."
"ConditionBlindedTitle","Blinded"
"ConditionBlurredDescription","Attacks on creature have disadvantage."
"ConditionBlurredTitle","Blurred"
"ConditionBrandedDescription","Emits light; cannot become invisible."
"ConditionBrandedTitle","Branded"
"ConditionBullsStrengthDescription","Advantage on Strength saving throws."
"ConditionCatsGraceDescription","Advantage on Dexterity saving throws and reduced falling damage."
"ConditionCharmedByHypnoticPatternDescription","Incapacitated and speed is 0, until wounded or awoken."
"ConditionCharmedByHypnoticPatternTitle","Charmed by Hypnosis"
"ConditionCharmedDescription","Considers the caster an ally."
"ConditionCharmedTitle","Charmed"
