"context","source","target"
"AbilityScoreBonusDescription","The bonus to this ability score, based on your current choices."
"AbilityScoreBonusEditableDescription","The bonus to this ability score value, which you can adjust with your remaining points."
"AbilityScoresAssignTitle","Drag and drop your rolls onto ability score cells, or auto assign."
"AbilityScoresEditPointsTitle","Edit your rolls using your remaining points."
"AbilityScoresMethodTitle","Select Ability Score Generation Method"
"AbortCreationDescription","Cancels the character creation process."
"AbortLevelUpDescription","Cancels the character level up process."
"AbortTitle","Cancel"
"ActiveQuestsFormatPlural","Your team has {0} active quests."
"ActiveQuestsFormatSingle","Your team has one active quest."
"AddCharacterDescription","Adds a character from your pool of local characters."
"AddCharacterTitle","Add Character"
"AddNewClassTitle","Add New Class"
"AnswerChoiceTitle","Select an Answer"
"AscendDescription","Elevate the horizontal plane by one cell."
"AttackDamageDescription","The damage this attack causes on a successful hit."
"AttackDamageTitle","dmg"
"AttackRollFooterTitle","Attack"
"AttackToHitDescription","The bonus added to d20 attack rolls with this attack."
"AttackToHitTitle","to Hit"
"AttunableItemsTitle","Items that can be attuned."
"AttunableItemsWarningFormat","{0} has reached the limit of {1} attunable items."
"AttunementExecutedWarningDescription","Remove attunement to this item in order to attune to a different item."
"AttunementExecutedWarningTitle","{0} has reached the attunement limit for this rest."
"AttunementRemoveTitle","Remove"
"AvailableSlotsDescription","The number of spells of this level that you can cast. You can use one of these slots to cast a lower level spell, which may increase its effect."
"AvailableSlotsTitle","Available Slots:"
"BackgroundFeaturesTitle","Background Features"
"BackgroundHeaderTitle","Background"
"BackTitle","Back"
"BattleIntroTitle","A Battle Starts!"
"BattleVictoryTitle","Victory!"
"BonusAttackTitle","Bonus Attack"
"CancelTitle","Cancel"
"CaptionAbortDescription","Abort this action."
"CaptionAbortTitle","Abort"
"CaptionProceedDescription","Execute your action even though it is incomplete."
"CaptionProceedTitle","Proceed"
"CastLightButtonDescription","Click to cast a light cantrip on one of your hand-held items."
"ChanelDivinityRecoveredDescription","All uses of Channel Divinity are restored."
"CharacterInformationTitle","Character"
"CharacterInfoTitle","Character Info"
"CharacterInspectionModeBattleAvailableTitle","The character can perform one free/inventory action per combat round."
"CharacterInspectionModeBattleSpentTitle","The character has spent the free/inventory action for this combat round."
"CharacterInspectionModeSelectCarriedItemTitle","Select any item to apply this effect."
"CharacterInspectionModeSelectEquipedItemTitle","Select an equipped item to apply this effect."
"CharacterInspectionModeSelectMagicalUnidentifiedItemTitle","Select an unidentified magical item to identify."
"CharacterInspectionModeSelectSpellbookTitle","Select a spellbook with at least {0} blank page(s)."
"CharacterInspectionModeSelectWeaponNonMagicalTitle","Select a non-magical weapon to apply this effect."
"CharacterInspectionModeSelectWeaponTitle","Select a weapon to apply this effect."
"CharacterPersonalityDescriptionTitle","The personality of a character determines how he/she will behave during narrative sequences. Some narrative flags will provide variation to dialogs, while other will open different dialog branches and more generally have the character play a role fitting his/her personality."
"CharacterPersonalityBackgroundAlignementDescription","During character creation, the chosen background and alignment open the selection of specific personality flags, allowing you to customize the way your character behaves during narrative sequences."
"CharactersManagementTitle","Character Management"
"ChooseFeatureDescription","You must select an option."
"ChooseFeatureTitle","Choose:"
"ClassDeityDescription","The divinity that your character follows. Mandatory for some choices."
"ClassDeityTitle","Deity"
"ClassFeaturesTitle","Class Features"
"ClassHeaderTitle","Class"
"ClassHitDiceDescription","The dice cast at each level to determine your hit points, and also to recover lost hit points."
