"context","source","target"
"ApplyDescription","Apply the changes you have selected."
"ApplyNoChangeDescription","Settings have not changed."
"ApplyTitle","Apply"
"AutosaveCountDescription","The number of autosaves kept."
"AutosaveCountTitle","Autosave Count"
"CameraModeDescription","Select an exploration camera mode."
"CameraModeElasticDescription","The exploration camera can move away from your party but returns to follow mode automatically after a few seconds."
"CameraModeElasticTitle","Spring"
"CameraModeFollowDescription","The exploration camera is locked on your party."
"CameraModeFollowTitle","Follow"
"CameraModeFreeDescription","You can move the exploration camera at will, outside the fog."
"CameraModeFreeTitle","Free"
"CameraModeTitle","Camera Mode"
"ConfineCursorToWindowDescription","If enabled, the cursor cannot leave the game window unless another screen is selected."
"ConfineCursorToWindowTitle","Confine Cursor to Window"
"ContextualCameraFrequencyLevelDescription","Set how often the close-up camera focuses on important actions."
"ContextualCameraFrequencyLevelTitle","Contextual Camera Frequency"
"DamageAcidStyleDescription","Die style used for this type of damage."
"DamageAcidStyleTitle","Acid Damage Style"
"DamageBludgeoningStyleDescription","Die style used for this type of damage."
"DamageBludgeoningStyleTitle","Bludgeoning Damage Style"
"DamageColdStyleDescription","Die style used for this type of damage."
"DamageColdStyleTitle","Cold Damage Style"
"DamageFireStyleDescription","Die style used for this type of damage."
"DamageFireStyleTitle","Fire Damage Style"
"DamageForceStyleDescription","Die style used for this type of damage."
"DamageForceStyleTitle","Force Damage Style"
"DamageLightningStyleDescription","Die style used for this type of damage."
"DamageLightningStyleTitle","Lightning Damage Style"
"DamageNecroticStyleDescription","Die style used for this type of damage."
"DamageNecroticStyleTitle","Necrotic Damage Style"
"DamagePiercingStyleDescription","Die style used for this type of damage."
"DamagePiercingStyleTitle","Piercing Damage Style"
"DamagePoisonStyleDescription","Die style used for this type of damage."
"DamagePoisonStyleTitle","Poison Damage Style"
"DamagePsychicStyleDescription","Die style used for this type of damage."
"DamagePsychicStyleTitle","Psychic Damage Style"
"DamageRadiantStyleDescription","Die style used for this type of damage."
"DamageRadiantStyleTitle","Radiant Damage Style"
"DamageSlashingStyleDescription","Die style used for this type of damage."
"DamageSlashingStyleTitle","Slashing Damage Style"
"DamageThunderStyleDescription","Die style used for this type of damage."
"DamageThunderStyleTitle","Thunder Damage Style"
"DisplayBanterTextAboveCharactersDescription","Check this to show/hide the banter lines above characters in game."
"DisplayBanterTextAboveCharactersTitle","Display Banter Text Above Characters"
"DisplayTutorialDescription","Display or Hide tutorial panels during the game."
"DisplayTutorialTitle","Display Tutorial"
"EffectsVolumeDescription","Change sound effects volume."
"EffectsVolumeTitle","Effects Volume"
"FocusCameraOnBattleActionsDescription","When enabled, the camera will automatically focus on important battle actions such as attacks, spellcasting, and more."
"FocusCameraOnBattleActionsTitle","Focus Camera on Battle Actions"
"FramerateDescription","Game screen refresh frequency."
"FramerateTitle","Framerate"
"FullscreenDescription","Display the game in full screen or windowed mode."
"FullscreenTitle","Full Screen"
"GroupedMonsterInitiativesDescription","When rolling for initiative, all monsters of the same type have the same initiative."
"GroupedMonsterInitiativesTitle","Grouped Monster Initiatives"
"HealingStyleDescription","Die style used for healing effects."
"HealingStyleTitle","Healing Style"
"MainTitle","Settings"
"MasterEnabledDescription","All audio on/off."
"MasterEnabledTitle","Master Enabled"
"MasterVolumeDescription","Overall audio volume."
"MasterVolumeTitle","Master Volume"
"MoveWithRightClickDescription","Right-click to move characters, interact with an object, or attack an enemy."
"MoveWithRightClickTitle","Move/Contextual Action with Right-Click"
"MusicVolumeDescription","Adjust background music volume."
"MusicVolumeTitle","Music Volume"
"OnlyShowNPCIconOnHoverDescription","NPC type icons (merchant, quest giver, etc.) only display when the cursor is over the NPC."
"OnlyShowNPCIconOnHoverTitle","Only Show NPC Icon on Mouseover"
"OrbitalCameraCorrectionDescription","The camera moves up when entering level boundaries."
"OrbitalCameraCorrectionTitle","Orbital Camera Correction"
"PartyReactionTrapDetectedDescription","Set the party's reaction to a trap being detected."
"PartyReactionTrapDetectedNoReactionDescription","The party continues with its current actions."
"PartyReactionTrapDetectedNoReactionTitle","No Reaction"
"PartyReactionTrapDetectedStopMovementDescription","The party stops moving."
"PartyReactionTrapDetectedStopMovementTitle","Stop Movement"
"PartyReactionTrapDetectedTitle","Reaction on Trap Detection"
"PrepareSpellsLongRestDescription","Changing a character's prepared spells requires a long rest."
"PrepareSpellsLongRestTitle","Prepare Spells & Long Rest"
"QualityLevelDescription","Graphical quality. Hight quality requires a more powerful graphics card."
"QualityLevelHighDescription","Good for high-end systems"
"QualityLevelHighTitle","High"
"QualityLevelLowDescription","Good for low-end systems"
"QualityLevelLowTitle","Low"
"QualityLevelMediumDescription","Good for middle-range systems"
"QualityLevelMediumTitle","Medium"
"QualityLevelTitle","Quality Level"
"QualityLevelUltraDescription","Usable only with the most powerful systems"
"QualityLevelUltraTitle","Ultra"
"QualityLevelVery HighDescription","Good for powerful systems"
"QualityLevelVery HighTitle","Very High"
"QualityLevelVery LowDescription","Works with the weakest systems"
"QualityLevelVery LowTitle","Very Low"
"QuicksaveCountDescription","The number of quicksaves kept."
"QuicksaveCountTitle","Quicksave Count"
"ReactionTimerDescription","This option gives you a limited time to decide whether or not to use a reaction."
"ReactionTimerTitle","Reaction Timer"
"ResolutionDescription","The graphical resolution of the game screen."
"ResolutionTitle","Resolution"
"RollAbilityCheckDieDescription","Show/hide die when an ability check is rolled during exploration or combat."
"RollAbilityCheckDieTitle","Show Ability Check Die"
