"context","source","target"
"AcrobaticsDescription","Your Dexterity (Acrobatics) check covers your attempt to stay on your feet in a tricky situation, such as when you're trying to run across a sheet of ice, balance on a tightrope, or stay upright on a rocking ship's deck."
"AcrobaticsTitle","Acrobatics"
"AnimalHandlingDescription","When there is any question whether you can calm down a domesticated animal, keep a mount from getting spooked, or intuit an animal's intentions, make a Wisdom (Animal Handling) check. You also make a Wisdom (Animal Handling) check to control your mount when you attempt a risky maneuver."
"AnimalHandlingTitle","Animal Handling"
"ArcanaDescription","Your Intelligence (Arcana) check measures your ability to recall lore about spells, magic items, eldritch symbols, magical traditions, the planes of existence, and the inhabitants of those planes."
"ArcanaTitle","Arcana"
"AthleticsDescription","Your Strength (Athletics) check covers difficult situations you encounter while climbing, jumping, or swimming."
"AthleticsTitle","Athletics"
"DeceptionDescription","Your Charisma (Deception) check determines whether you can convincingly hide the truth, either verbally or through your actions."
"DeceptionTitle","Deception"
"HistoryDescription","Your Intelligence (History) check measures your ability to recall lore about historical events, legendary people, ancient kingdoms, past disputes, recent wars, and lost civilizations."
"HistoryTitle","History"
"InsightDescription","Your Wisdom (Insight) check decides whether you can determine the true intentions of a creature, such as when searching out a lie or predicting someone's next move. This can be useful to know which negotiation technique you should employ during a dialog."
"InsightTitle","Insight"
"IntimidationDescription","When you attempt to influence someone through overt threats, hostile actions, and physical violence, you may make a Charisma (Intimidation) check."
"IntimidationTitle","Intimidation"
"InvestigationDescription","When you look around for clues and make deductions based on those clues, you make an Intelligence (Investigation) check."
"InvestigationTitle","Investigation"
"MedecineDescription","A Wisdom (Medicine) check lets you try to stabilize a dying companion, diagnose an illness, or craft healing potions or antitoxin."
"MedecineTitle","Medicine"
"NatureDescription","Your Intelligence (Nature) check measures your ability to recall lore about terrain, plants and animals, the weather, and natural cycles."
"NatureTitle","Nature"
"PerceptionDescription","Your Wisdom (Perception) check lets you spot, hear, or otherwise detect the presence of something. It measures your general awareness of your surroundings and the keenness of your senses.	"
"PerceptionTitle","Perception"
"PerformanceDescription","Your Charisma (Performance) check determines how well you can delight an audience with music, dance, acting, storytelling, or some other form of entertainment."
"PerformanceTitle","Performance"
"PersuasionDescription","When you attempt to influence someone or a group of people with tact, social graces, or good nature, you may make a Charisma (Persuasion) check. Typically, you use persuasion when acting in good faith, to foster friendships, make cordial requests, or exhibit proper etiquette."
"PersuasionTitle","Persuasion"
"ReligionDescription","Your Intelligence (Religion) check measures your ability to recall lore about deities, rites and prayers, religious hierarchies, holy symbols, and the practices of secret cults."
"ReligionTitle","Religion"
"SleightOfHandDescription","Whenever you attempt an act of legerdemain or manual trickery, such as planting something on someone else or concealing an object on your person, make a Dexterity (Sleight of Hand) check."
"SleightOfHandTitle","Sleight of Hand"
"StealthDescription","Make a Dexterity (Stealth) check when you attempt an action while in close vicinity of enemies while remaining undetected. Your score is also used to determine how fast the detection gauge fills up when sneaking around enemies."
"StealthTitle","Stealth"
"SurvivalDescription","You may make a Wisdom (Survival) check to follow tracks, hunt wild game, guide your group through frozen wastelands, identify signs that owlbears live nearby, predict the weather, or avoid quicksand and other natural hazards."
"SurvivalTitle","Survival"
