"context","source","target"
"AmmunitionSlotDescription","You can store ammunition for ranged weapons here."
"AmmunitionSlotTitle","Ammunition"
"BackSlotDescription","You can equip backpacks, shield, or strap large weapons here."
"BackSlotTitle","Back"
"BeltSlotDescription","You can equip belts or girdles here."
"BeltSlotTitle","Belt"
"ContainerSlotDescription","You can store any object here."
"ContainerSlotTitle","Container"
"FeetSlotDescription","You can wear boots, slippers, or shoes in this slot."
"FeetSlotTitle","Feet"
"FingerSlotDescription","You can equip rings here."
"FingerSlotTitle","Finger"
"GlovesSlotDescription","You can equip gloves or gauntlets here."
"GlovesSlotTitle","Hands"
"HeadSlotDescription","You can equip hats, helms, crowns, or diadems here."
"HeadSlotTitle","Head"
"MainHandSlotDescription","You can equip main weapons here."
"MainHandSlotTitle","Main Hand"
"NeckSlotDescription","You can equip necklaces and amulets here."
"NeckSlotTitle","Neck"
"OffHandSlotDescription","You can equip secondary weapons here. If the main hand is already equipped with a two-handed weapon, this slot is disabled."
"OffHandSlotTitle","Off Hand"
"PersonalStorageSlotDescription","You can store objects in your backpack, etc., as long as you do not exceed the maximum weight of the container."
"PersonalStorageSlotTitle","Personal Storage"
"SmallContainerSlotDescription","You can store small objects here."
"SmallContainerSlotTitle","Small Container"
"TorchHolderSlotDescription","You can only place torches or equivalent items here."
"TorchHolderSlotTitle","Torch Holder"
"TorsoSlotDescription","You can equip suits of armor here."
"TorsoSlotTitle","Torso"
"UtilitySlotDescription","You can store utility items (potions, scrolls, spell focus, component pouch) here."
"UtilitySlotTitle","Utility"
"WristsSlotDescription","You can equip bracers here."
"WristsSlotTitle","Wrists"
"ShouldersSlotDescription","You can equip cloaks and pauldrons here."
"ShouldersSlotTitle","Shoulders"
