"context","source","target"
"AcidArrowDescription","Launch an acid arrow."
"AcidArrowTitle","Acid Arrow"
"AcidSplashDescription","Launch an acid bolt."
"AcidSplashTitle","Acid Splash"
"AidDescription","Temporarily increases hit points for up to three allies."
"AidTitle","Aid"
"AnimateDeadDescription","Create an undead servant."
"AnimateDeadTitle","Animate Dead"
"BaneDescription","Reduce your enemies' attack and saving throws for a limited time."
"BaneTitle","Bane"
"BarkskinDescription","Gives you or an ally you can touch an AC of at least 16."
"BarkskinTitle","Barkskin"
"BeaconOfHopeDescription","Raise hope and vitality."
"BeaconOfHopeTitle","Beacon of Hope"
"BestowCurseAbilityCharismaTitle","Bestow Curse (Charisma)"
"BestowCurseAbilityConstitutionTitle","Bestow Curse (Constitution)"
"BestowCurseAbilityDexterityTitle","Bestow Curse (Dexterity)"
"BestowCurseAbilityIntelligenceTitle","Bestow Curse (Intelligence)"
"BestowCurseAbilityStrengthTitle","Bestow Curse (Strength)"
"BestowCurseAbilityWisdomTitle","Bestow Curse (Wisdom)"
"BestowCurseDescription","Curses a creature you can touch."
"BestowCurseOnActionTurnTitle","Bestow Curse (Action)"
"BestowCurseOnAttackRollTitle","Bestow Curse (Attack)"
"BestowCurseOnDamageAddNecroticTitle","Bestow Curse (Damage)"
"BestowCurseTitle","Bestow Curse"
"BlessDescription","Increase your allies' saving throws and attack rolls for a limited time."
"BlessTitle","Bless"
"BlindnessDescription","Blind an enemy for one minute."
"BlindnessTitle","Blindness"
"BlurDescription","Makes you blurry and harder to hit for up to one minute."
"BlurTitle","Blur"
"BrandingSmiteDescription","Your next hit causes additional radiant damage and your target becomes luminous."
"BrandingSmiteTitle","Branding Smite"
"BurningHandsDescription","Spray a cone of fire in front of you."
"BurningHandsTitle","Burning Hands"
"CharmPersonDescription","Makes an ally of an enemy."
"CharmPersonTitle","Charm Person"
"ChillTouchDescription","Deal damage to one enemy and prevent healing for a limited time."
"ChillTouchTitle","Chill Touch"
"ColorSprayTitle","Color Spray"
"ConjureGoblinoidsDescription","Conjures 2 goblins who obey your orders unless you lose concentration."
"ConjureGoblinoidsTitle","Conjure Goblinoids"
"CounterspellDescription","Interrupt an enemy's spellcasting."
"CounterspellTitle","Counterspell"
"CreateFoodDescription","Conjure 15 units of food."
"CreateFoodTitle","Create Food"
"CureWoundsDescription","Heal an ally by touch."
"CureWoundsTitle","Cure Wounds"
"DancingLightsDescription","Create dancing lights that move at your command."
"DancingLightsTitle","Dancing Lights"
"DarknessDescription","Create an area of magical darkness."
"DarknessTitle","Darkness"
"DarkvisionDescription","Grant Darkvision to the target."
"DarkvisionTitle","Darkvision"
"DaylightDescription","Summon a globe of bright light."
"DaylightTitle","Daylight"
"DazzleDescription","Lower a target's AC and prevent reaction until the start of its next turn."
"DazzleTitle","Dazzle"
"DetectEvilAndGoodDescription","Detect nearby creatures of evil or good nature."
"DetectEvilAndGoodTitle","Detect Evil and Good"
"DetectMagicDescription","Detect nearby magic objects or creatures."
"DetectMagicTitle","Detect Magic"
"DispelMagicDescription","End active spells on a creature or object."
"DispelMagicTitle","Dispel Magic"
"DivineFavorDescription","Gain additional radiant damage for a limited time."
"DivineFavorTitle","Divine Favor"
"EnhanceAbilityBearsEnduranceDescription","Gain temporary hit points and advantage on Constitution checks."
"EnhanceAbilityBearsEnduranceTitle","Bear's Endurance"
"EnhanceAbilityBullsStrengthDescription","Increased carrying capacity and advantage on Strength checks."
"EnhanceAbilityBullsStrengthTitle","Bull's Strength"
"EnhanceAbilityCatsGraceDescription","Reduced falling damage and advantage on Dexterity checks."
"EnhanceAbilityCatsGraceTitle","Cat's Grace"
"EnhanceAbilityDescription","Grant temporary powers to an ally for up to one hour."
"EnhanceAbilityEaglesSplendorDescription","Advantage on Charisma checks."
"EnhanceAbilityEaglesSplendorTitle","Eagle's Splendor"
"EnhanceAbilityFoxsCunningDescription","Advantage on Intelligence checks."
"EnhanceAbilityFoxsCunningTitle","Fox's Cunning"
"EnhanceAbilityOwlsWisdomDescription","Advantage on Wisdom checks."
"EnhanceAbilityOwlsWisdomTitle","Owl's Wisdom"
"EnhanceAbilityTitle","Enhance Ability"
"ExpeditiousRetreatDescription","Gain movement points and become able to dash as a bonus action for a limited time."
"ExpeditiousRetreatTitle","Expeditious Retreat"
"FaerieFireDescription","Highlight creatures to give advantage to anyone attacking them."
"FaerieFireTitle","Faerie Fire"
"FalseLifeDescription","Gain a few temporary hit points for a limited time."
"FalseLifeTitle","False Life"
"FearDescription","Frighten creatures and force them to flee."
"FearTitle","Fear"
"FeatherFallDescription","Provide a safe landing when you or an ally falls."
"FeatherFallTitle","Feather Fall"
"FindTrapsDescription","Spot mechanical and magical traps, but not natural hazards."
"FindTrapsTitle","Find Traps"
"FireballDescription","Launch a fireball that explodes from a point of your choosing."
"FireballTitle","Fireball"
"FireBoltDescription","Launch a fire bolt."
"FireBoltTitle","Fire Bolt"
"FlamingSphereDescription","Summons a movable, burning sphere."
"FlamingSphereTitle","Flaming Sphere"
"FlyDescription","An ally you touch gains the ability to fly for a limited time."
"FlyTitle","Fly"
"FogCloudDescription","Generate a sphere of thick fog for a limited time. Creatures inside it cannot attack those on the outside."
