"context","source","target"
"AbilityScoreIncreaseRemainingFormat","Remaining point(s): {0}/{1}"
"AbilityScoreIncreaseTitle","Ability Score Increase"
"AbilityScoresAssignmentDragTitle","Drag and drop your rolls onto ability score cells,
or optimize them for your character class."
"AbilityScoresAssignmentEditTitle","Adjust your ability scores from your points pool."
"AbilityScoresAssignmentEditUnlimitedTitle","Adjust your ability scores as desired."
"AbilityScoresAvailableValuesTitle","Your available scores."
"AbilityScoresBonusFromRaceTitle","From Ancestry"
"AbilityScoresCurrentTitle","Current Ability Scores"
"AbilityScoresDecreaseCannotDescription","You cannot lower this value any more."
"AbilityScoresDecreaseDescription","Lower this ability score."
"AbilityScoresFreeEditionDescription","Accurately recreate an existing character."
"AbilityScoresFreeEditionTitle","Free Edit"
"AbilityScoresIncreaseCannotDescription","No further increase possible."
"AbilityScoresIncreaseCapitalDescription","Raise this ability score at the cost of {0} point(s)."
"AbilityScoresIncreaseFreeDescription","Raise this ability score (free)."
"AbilityScoresMethodPointsTitle","Point Buy"
"AbilityScoresMethodRollTitle","Dice Rolls"
"AbilityScoresMethodTitle","Choose an ability generation system and define your character's stats."
"AbilityScoresOptimizeDescription","Optimize ability score assignments for the selected character class."
"AbilityScoresOptimizeTitle","Optimize"
"AbilityScoresPointsCapitalInfiniteTitle","Unlimited Points"
"AbilityScoresPointsCapitalTitle","Points Pool"
"AbilityScoresPredeterminedDescription","Reroll 6 ability scores, using 4d6 and keeping the three best rolls."
"AbilityScoresPredeterminedTitle","Standard Array"
"AbilityScoresRemainingPointsDescription","You have this many points still to spend."
"AbilityScoresRemainingPointsTitle","Remaining"
"AbilityScoresRerollDescription","Reroll 6 ability scores, using 4d6 and keeping the three best rolls."
"AbilityScoresRerollTitle","Reroll Dice"
"AbilityScoresResetDescription","Reset all ability score assignments."
"AbilityScoresResetTitle","Reset"
"AbilityScoresStageDescription","Generate the character's six main ability scores."
"AbilityScoresStageFailNotAllAssignedDescription","You must assign all 6 ability scores to the left side of the screen."
"AbilityScoresStageFailRemainingPointsDescription","You must spend all your points before you can proceed."
"AbilityScoresStageFailSpendAllLevelUpPointsDescription","You must spend all the ability score points from leveling up."
"AbilityScoresStageFailSpendAllRacePointsDescription","You must spend all the ability score points from the chosen ancestry."
"AbilityScoresStageTitle","Ability 
Scores"
"AbilityTipDescription","As a ""{0}"", your most important ability scores are {1}, {2}, and {3}."
"AbilityTipTitle","Tip"
"AllSpellsFormat","As a member of the ""{0}"" class, you have access to all spells (except cantrips) of your spell list.

Another interface will let you choose spells to prepare for the day."
"AtHigherLevelsDescription","Show the features granted at higher levels."
"AtHigherLevelsTitle","At Higher Levels"
"BackgroundAlignmentTitle","Choose an alignment:"
"BackgroundChose2FlagsTitle","Personality flags (choose 2)"
"BackgroundEquipmentTitle","Background Equipment"
"BackgroundFeaturesTitle","Background Features"
"BackgroundPredefinedFlagsTitle","Fixed Property Flags"
"BackgroundSelectionStageDescription","This stage creates a background for the character."
"BackgroundSelectionStageMissingAlignmentDescription","You must select an alignment."
"BackgroundSelectionStageMissingAlignmentFlagsDescription","You must choose two additional personality flags on the ethical board (Law/Chaos/Good/Evil)."
"BackgroundSelectionStageMissingBackgroundFlagsDescription","You must choose personality flags for your selected background."
"BackgroundSelectionStageNoneSelectedDescription","You must select a background."
"BackgroundSelectionStageTitle","Background"
"CantripLearnPluralTitle","Select {0} cantrips to learn."
"CantripLearnSingleTitle","Select a cantrip to learn."
"ChangeEquipementDescription","Click to choose between different equipment configurations."
"ChangeEquipementTitle","Edit Equipment"
"ClassAdvancementStageDescription","This stage lets you level up a class or add a new class."
"ClassAdvancementStageTitle","Class 
Advancement"
"ClassEquipmentTitle","Class Equipment"
"ClassFeaturesTitle","Class Features"
"ClassSelectionStageDescription","This stage lets you choose class features for your character."
"ClassSelectionStageNoneSelectedDescription","You must select a class."
"ClassSelectionStageTitle","Class "
"DeitySelectionDeityChoiceTitle","Select a Deity"
"DeitySelectionDomainChoiceTitle","Select a Divine Domain"
"DeitySelectionSelectedDeityDomainsHeader","Divine Domains"
"DeitySelectionSelectedDeityHeader","Deity"
"DeitySelectionSelectedDomainFeaturesTitle","Domain Features"
"DeitySelectionSelectedDomainHeader","Domain"
"DeitySelectionStageDescription","This stage lets you choose which deity the character follows, and select the benefits of your faith."
"DeitySelectionStageNoDeitySelectedDescription","You must select a deity."
"DeitySelectionStageNoDomainSelectedDescription","You must select a divine domain."
"DeitySelectionStageTitle","Deity"
"FightingStyleEffectsHeaderTitle","Style Effects"
"FightingStyleSelectedFightingStyleHeader","Fighting Style"
"FightingStyleSelectionStageDescription","This stage lets you choose a fighting style for the character."
"FightingStyleSelectionStageNoFightingStyleSelectedDescription","You must select a fighting style."
"FightingStyleSelectionStageTitle","Fighting
Style"
"FightingStyleSelectionTitle","Select Fighting Style"
"HigherLevelFeaturesTitle","Higher Level Features"
"HitPointsGainFormatPlural","You have gained {0} hit points

You have gained one additional hit die"
"HitPointsGainFormatSingle","You have gained {0} hit point

You have gained one additional hit die"
"HitPointsGainTitle","Hit Points"
"IdentityAdditionalBackstoryHeader","Additional Backstory"
"IdentityAdditionalBackstoryTemporaryInput","< Input your backstory here >"
"IdentityDefinitionDescription","This stage develops the character's background."
"IdentityDefinitionStageFailDuplicateName","Another character is already using that name."
"IdentityDefinitionStageFailEmptyName","You must input a name."
"IdentityDefinitionTitle","Identity"
"IdentityFirstNameTitle","First Name"
"IdentityLastNameTitle","Last Name"
"IdentityModifiersHeader","Modifiers"
"IdentityMorphotypeBeardShapeHeader","Beard Shape"
"IdentityMorphotypeBodyDecorationHeader","Body Decoration"
"IdentityMorphotypeEyeColorHeader","Eye Color"
"IdentityMorphotypeFaceAndSkinHeader","Face and Skin"
"IdentityMorphotypeFaceShapeHeader","Face"
"IdentityMorphotypeHairColorHeader","Hair Color"
"IdentityMorphotypeHairShapeHeader","Hair Shape"
"IdentityMorphotypeMusculatureHeader","Physique"
"IdentityMorphotypeOriginHeader","Origin"
"IdentityMorphotypeSkinHeader","Skin Tone"
"IdentityRandomRollDescription","Creates a random name based on the character's ancestry."
"IdentityRandomRollTitle","Random"
"IdentityVoiceTitle","Voice"
"LevelGainsCantripSelectionMultiple","{0} cantrips to select"
"LevelGainsCantripSelectionSingle","One cantrip to select"
"LevelGainsSaveDcFormat","Save DC is increased to {0}"
"LevelGainsSpellAttackFormat","Spell attack is increased to {0}"
"LevelGainsSpellSelectionMultiple","{0} spells to select"
"LevelGainsSpellSelectionSingle","One spell to select"
"LevelGainsSpellSlotsTile","Spell slots:"
"LevelGainsStageDescription","This stage lists what you have gained from your new level."
"LevelGainsStageTitle","Level Gains"
"LevelUpCaptionTitle","{0} is now a level {1} {2}"
"LevelUpHeader","Level Up!"
"NeedADeityDescription","You must choose a deity."
