"context","source","target"
"FactionRelicInterestedFactionsTitle","Interested Factions"
"FatigueExhaustedDescription","The party is completely exhausted and must rest."
"FatigueExhaustedTitle","Exhausted"
"FatigueFreshDescription","The party is fresh and can keep on traveling."
"FatigueFreshTitle","Fresh"
"FatigueImpededDescription","The party is slightly tired but can keep traveling."
"FatigueImpededTitle","Impeded"
"PaceFastDescription","The party travels quickly (36 miles per day), at the expense of stealth and perception."
"PaceFastTitle","Fast"
"PaceNormalDescription","The party travels at a normal pace (24 miles a day), striking a good balance between speed and awareness of its surroundings."
"PaceNormalTitle","Normal"
"PaceSlowDescription","The party travels slowly (16 miles per day), paying more attention to the surroundings and being less noticeable."
"PaceSlowTitle","Slow"
"StandardCampActivity01Title","{0} does some weapons maintenance."
"StandardCampActivity02Title","{0} performs armor maintenance."
"StandardCampActivity03Title","{0} cooks a nice meal for the party."
"StandardCampActivity04Title","{0} performs mental exercises."
"StandardCampActivity05Title","{0} prays."
"StandardCampActivity06Title","{0} tells old war stories."
"StandardCampActivity07Title","{0} starts a heated political discussion about the Principality of Masgarth."
"StandardCampActivity08Title","{0} starts a discussion about deities and religions."
"StandardCampActivity09Title","{0} starts a game of dice."
"StandardCampActivity10Title","{0} starts singing an old song."
"StandardCampActivity11Title","{0} starts a game of dice."
"StandardCampActivity12Title","{0} starts a game of cards."
"StandardRandomEvents10Title","{0} stops near a shrine to pray."
"StandardRandomEvents11Title","{0} works on martial arts training exercises."
"StandardRandomEvents1Title","The party comes across a band of mercenaries."
"StandardRandomEvents2Title","The party passes an old Imperial marketplace, now used as a meeting point for Scavengers."
"StandardRandomEvents3Title","The party passes an ancient tree, old enough to have survived the Cataclysm."
"StandardRandomEvents4Title","The party meets a wandering scholar from Gallivan."
"StandardRandomEvents5Title","The party meets a band of Pilgrims on their way to the Einareum."
"StandardRandomEvents6Title","The party comes across some wounded dwarf mercenaries and tends to their wounds."
"StandardRandomEvents7Title","The party comes across a messenger whose horse has been spooked. {0} calms the animal and is gratefully thanked."
"StandardRandomEvents8Title","{0} plays a game of dice with a wandering scholar."
"StandardRandomEvents9Title","{0} plays a tune on the flute."
"TravelActivityCampTitle","Camp"
"TravelActivityExplorationTitle","Exploration"
"TravelActivityLongRestTitle","Rest"
"TravelActivityNavigateTitle","Navigate"
"TravelActivityStandByTitle","Standby"
"TravelEventCraftingProgressFailure1Title","{0} faces a setback while crafting the {1}: no progress."
"TravelEventCraftingProgressFinishedTitle","{0} has finished crafting the {1}."
"TravelEventCraftingProgressHalfwayTitle","{0} is halfway done crafting the {1}."
"TravelEventCrownAttunedDescription","Our heroes take a well-deserved rest, but the mood is somber."
"TravelEventCrownAttunedTitle","A Troubled Night"
"TravelEventEncounterFailure1Title","The party fails to detect an approaching enemy group."
"TravelEventEncounterSuccess1Title","An encounter! {0} hears the enemy approaching."
"TravelEventEncounterSuccess2Title","An encounter! {0} spots the enemy before they see the party."
"TravelEventFoodSearchFailure1Title","The party did not find any food."
"TravelEventFoodSearchSuccess1Title","{0} finds some tasty mushrooms. The party gains {1} food ration(s)."
"TravelEventFoodSearchSuccess2Title","{0} catches wild hares. The party gains {1} food ration(s)."
"TravelEventFoodSearchSuccess3Title","{0} kills a boar. The party gains {1} food ration(s)."
"TravelEventFoodSearchSuccess4Title","{0} finds an apple tree. The party gains {1} food ration(s)."
"TravelEventFoodSearchSuccess5Title","{0} finds a bird's nest and gathers some eggs. The party gains {1} food ration(s)."
"TravelEventFoodSearchSuccess6Title","{0} kills a fallow deer. The party gains {1} food ration(s)."
"TravelEventFoodSearchSuccess7Title","{0} kills a couple of partridges. The party gains {1} food ration(s)."
"TravelEventFoodSearchSuccess8Title","{0} finds a bunch of wild vegetables and gathers {1} food ration(s)."
"TravelEventIngredientGatheringFailure1Title","The party did not find any useful ingredients."
"TravelEventIngredientGatheringSuccess1Title","{0} manages to collect crafting ingredients: {1}"
"TravelEventLongRestCompleteFailure1Title","The party has failed to complete its long rest"
"TravelEventLongRestCompleteSuccess1Title","The party has finished its long rest and consumed {0} unit(s) of food."
"TravelEventLongRestStart1Title","The party starts to rest"
"TravelEventNavigationStarts1Title","The party is on the move"
"TravelEventNewDayTitle","Day {0}"
"TravelEventSetCamp1Title","The party sets camp"
"TravelJourneyBeginsTitle","The journey begins!"
"TravelJourneyEndsTitle","The party has arrived"
"TravelEventExplorationEndsTitle","The party has found a way in."
"TravelEventExplorationStartsTitle","The party starts looking for access to the location."
"TravelEventCastFoodSpellTitle","{0} casts the {1} spell and provides food for the whole party."
"StandardRandomEvents12Title","The party comes across a Scavenger chariot filled with loot and says hello."
"StandardRandomEvents13Title","The party passes by a mass grave and walks away with a somber look."
"StandardRandomEvents14Title","The party passes by a Manacalon statue representing yet another emperor."
"StandardRandomEvents15Title","The party passes by a broken statue of an elven woman with a slave."
"StandardRandomEvents16Title","The party passes by a shrine to Arun and hears thunder rumbling in the distance."
"StandardRandomEvents17Title","The party passes by a shrine to Einar and sees a deer dash away."
"StandardRandomEvents18Title","The party passes by a shrine to Pakri and feels a cold breeze."
"StandardRandomEvents19Title","The party passes by a shrine to Maraike and hears a bird singing."
"StandardRandomEvents20Title","The party passes by a shrine to Misaye and hears someone laughing."
"StandardRandomEvents21Title","The party passes by a ruined Imperial tollgate on which flowers have grown."
"StandardRandomEvents22Title","The party passes by a fallen bridge and wades through a stream."
"StandardRandomEvents23Title","The party walks in light rain for some time."
"StandardRandomEvents24Title","The party walks in heavy rain for a while."
"StandardRandomEvents25Title","The party walks in a powerful storm for a short time."
"StandardCampActivity13Title","{0} carves a statuette with a piece of wood."
"StandardCampActivity14Title","{0} writes a letter to goodness knows who."
"StandardCampActivity15Title","{0} writes a chapter in their personal journal."
"StandardCampActivity16Title","{0} reads a chapter of a book."
"StandardCampActivity17Title","{0} does some pushups and squats."
"StandardCampActivity18Title","{0} cleans their shoes."
"StandardCampActivity19Title","{0} takes a short time alone to think."
"StandardCampActivity20Title","{0} plays a game of skill with stones."
"StandardCampActivity21Title","{0} unfolds a bedroll to set up a nice sleeping spot."
"TravelEventEncounterOther1Title","Weak monsters run away as they see the party approaching."
"TravelEventEncounterOther2Title","An encounter! The monsters are frightened by the party and scurry away."
