"context","source","target"
"CryptTitle","Crypt"
"InfernoTitle","Inferno"
"StrangeTitle","Strange"
"ClearOutdoorTitle","Clear Weather"
"AcidTitle","Acid"
"BluishTitle","Bluish"
"CalmTitle","Calm"
"ColdTitle","Cold"
"DevilishTitle","Devilish"
"DullTitle","Dull"
"GloomyTitle","Gloomy"
"GoldenTitle","Golden"
"GreenishTitle","Greenish"
"LovelyTitle","Lovely"
"MossyTitle","Mossy"
"MuddyTitle","Muddy"
"MysticTitle","Mystic"
"OcherTitle","Ocher"
"PastTitle","Ancient"
"PichBlackTitle","Pitch Black"
"PurplishTitle","Purple"
"RadiantTitle","Radiant"
"SpookyTitle","Spooky"
"StenchTitle","Stench"
"ToxicTitle","Toxic"
"WarmTitle","Warm"
